code,label,state,scrape_status,smarthub_host,portal_url,notes
pec,Pedernales Electric Cooperative,TX,live,pec.smarthub.coop,https://pec.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. SmartHub host siteName-verified ('Pedernales Electric Cooperative') Jul 2026; earlier contested claim resolved (SC's Palmetto row no longer holds this host). kWh unverified on a real generation meter.
coserv,CoServ Electric,TX,live,coserv.smarthub.coop,https://coserv.smarthub.coop,NISC SmartHub portal — North Texas co-op. Extension scrapes billing + usage. kWh unverified on real generation meter.
gvec,Guadalupe Valley Electric Cooperative,TX,live,gvec.smarthub.coop,https://gvec.smarthub.coop,NISC SmartHub portal — South-Central TX co-op. Extension scrapes billing + usage. kWh unverified on real generation meter.
bluebonnet,Bluebonnet Electric Cooperative,TX,live,bluebonnet.smarthub.coop,https://bluebonnet.smarthub.coop,NISC SmartHub portal — Central TX co-op. Extension scrapes billing + usage. kWh unverified on real generation meter.
deepeast,Deep East Texas Electric Cooperative,TX,live,deepeast.smarthub.coop,https://deepeast.smarthub.coop,NISC SmartHub portal — East TX co-op. Extension scrapes billing + usage. kWh unverified on real generation meter.
fayette,Fayette Electric Cooperative,TX,live,fayette.smarthub.coop,https://fayette.smarthub.coop,NISC SmartHub portal — Central TX co-op. Extension scrapes billing + usage. kWh unverified on real generation meter.
taylor,Taylor Electric Cooperative,TX,in-progress,,https://taylorelectric.smarthub.coop,[host contested] Taylor EC (TX). taylorelectric.smarthub.coop also claimed by Taylor County RECC (KY). Verify ownership.
tcec_tx,Tri-County Electric Cooperative,TX,in-progress,,https://tcec.smarthub.coop,[host contested] Tri-County EC (TX). tcec.smarthub.coop also claimed by Tri-County EC (FL). Verify ownership.
lighthouse,Lighthouse Electric Cooperative,TX,live,lighthouse.smarthub.coop,https://lighthouse.smarthub.coop,NISC SmartHub portal — West TX co-op. Extension scrapes billing + usage. kWh unverified on real generation meter.
grayson_collin,Grayson-Collin Electric Cooperative,TX,live,graysoncollin.smarthub.coop,https://graysoncollin.smarthub.coop,NISC SmartHub portal — North TX co-op. Extension scrapes billing + usage. kWh unverified on real generation meter.
hotec,Heart of Texas Electric Cooperative,TX,live,hotec.smarthub.coop,https://hotec.smarthub.coop,NISC SmartHub portal — Central TX co-op. Extension scrapes billing + usage. kWh unverified on real generation meter.
farmers_tx,Farmers Electric Cooperative,TX,in-progress,,https://farmers.smarthub.coop,[host contested] Farmers EC (TX). farmers.smarthub.coop also claimed by Farmers EC (AR). Verify ownership.
ctec,Central Texas Electric Cooperative,TX,live,ctec.smarthub.coop,https://ctec.smarthub.coop,NISC SmartHub portal — Central TX co-op. Extension scrapes billing + usage. kWh unverified on real generation meter.
karnes,Karnes Electric Cooperative,TX,live,karnesec.smarthub.coop,https://karnesec.smarthub.coop,NISC SmartHub portal — South TX co-op. Extension scrapes billing + usage. kWh unverified on real generation meter.
bandera,Bandera Electric Cooperative,TX,live,bandera.smarthub.coop,https://bandera.smarthub.coop,NISC SmartHub portal — South-Central TX co-op. Extension scrapes billing + usage. kWh unverified on real generation meter.
mvec,Magic Valley Electric Cooperative,TX,in-progress,,https://mvec.smarthub.coop,[host contested] TX. mvec.smarthub.coop also claimed by Magoffin Valley (KY). Verify.
rgec,Rio Grande Electric Cooperative,TX,live,rgec.smarthub.coop,https://rgec.smarthub.coop,NISC SmartHub portal — Southwest TX co-op. Extension scrapes billing + usage. kWh unverified on real generation meter.
sam_houston,Sam Houston Electric Cooperative,TX,live,samhouston.smarthub.coop,https://samhouston.smarthub.coop,NISC SmartHub portal — Southeast TX co-op. Extension scrapes billing + usage. kWh unverified on real generation meter.
sbec,San Bernard Electric Cooperative,TX,live,sbec.smarthub.coop,https://sbec.smarthub.coop,NISC SmartHub portal — Southeast TX co-op. Extension scrapes billing + usage. kWh unverified on real generation meter.
lamar,Lamar County Electric Cooperative,TX,live,lamarelectric.smarthub.coop,https://lamarelectric.smarthub.coop,"NISC SmartHub portal — extension scrapes billing + usage. SmartHub host auto-discovered + siteName-verified ('Lamar Electric Cooperative') Jul 2026. Contested-host note resolved: lcec.smarthub.coop belongs to Lamb County EC (TX), not this row. kWh unverified on a real generation meter."
