code,label,state,scrape_status,smarthub_host,portal_url,notes
surprise_valley,Surprise Valley Electrification Corp,CA,in-progress,,,"Surprise Valley Electrification Corp (Modoc County cooperative). No distinct SmartHub host found (tested surprisevalleyec.smarthub.coop, surprisevalley.smarthub.coop, others — svec.smarthub.coop is VA's Shenandoah Valley, not CA). Manual upload meanwhile."
trinitypud,Trinity Public Utilities District,CA,live,trinitypud.smarthub.coop,https://trinitypud.smarthub.coop,NISC SmartHub portal (trinitypud.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
tdpud,Truckee Donner Public Utility District,CA,live,tdpud.smarthub.coop,https://tdpud.smarthub.coop,NISC SmartHub portal (tdpud.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
gridley,Gridley Electric Utility,CA,live,gridley.smarthub.coop,https://gridley.smarthub.coop,NISC SmartHub portal (gridley.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
pge,Pacific Gas & Electric (PG&E),CA,in-progress,,https://pge.com,"Investor-owned utility, largest in CA (70+ counties). PG&E MyAccount — bespoke portal, adapter needs a live login. Manual upload meanwhile."
sce,Southern California Edison (SCE),CA,in-progress,,https://sce.com,"Investor-owned utility, central/coastal Southern CA. SCE MyAccount — bespoke portal, adapter needs a live login. Manual upload meanwhile."
sdge,San Diego Gas & Electric (SDG&E),CA,in-progress,,https://sdge.com,"Investor-owned utility, San Diego + southern Orange County. SDG&E portal — bespoke, adapter needs a live login. Manual upload meanwhile."
smud,Sacramento Municipal Utility District (SMUD),CA,in-progress,,https://smud.org,"Large municipal utility (Sacramento County). SMUD My Account portal — bespoke, not SmartHub. Adapter needs a live login. Manual upload meanwhile."
ladwp,Los Angeles Department of Water and Power (LADWP),CA,in-progress,,https://ladwp.com,"Largest municipal utility in US. LADWP MyAccount portal — bespoke, not SmartHub. Adapter needs a live login. Manual upload meanwhile."
imperial,Imperial Irrigation District (IID),CA,in-progress,,https://iid.com,"IID serves Imperial Valley. IID SmartHub portal — bespoke (not NISC SmartHub), adapter needs a live login. Manual upload meanwhile."
turlock,Turlock Irrigation District,CA,in-progress,,https://tid.org,"TID serves Turlock area (Central Valley). TID customer portal — bespoke, not SmartHub. Adapter needs a live login. Manual upload meanwhile."
modesto,Modesto Irrigation District (MID),CA,in-progress,,https://mid.org,"MID serves Modesto area (Central Valley). MID customer portal — bespoke, not SmartHub. Adapter needs a live login. Manual upload meanwhile."
riverside,Riverside Public Utilities,CA,in-progress,,https://riversideca.gov/utilities,"Riverside municipal utility. City of Riverside utility portal — bespoke, not SmartHub. Adapter needs a live login. Manual upload meanwhile."
burbank,Burbank Water and Power,CA,in-progress,,https://burbankwaterandpower.com,"Burbank municipal utility. BWP customer portal — bespoke, not SmartHub. Adapter needs a live login. Manual upload meanwhile."
glendale,Glendale Water and Power,CA,in-progress,,https://glendaleca.gov/government/departments/glendale-water-power,"Glendale municipal utility. GWP customer portal — bespoke, not SmartHub. Adapter needs a live login. Manual upload meanwhile."
