code,label,state,scrape_status,smarthub_host,portal_url,notes
clayelectric,Clay Electric Cooperative,FL,live,clayelectric.smarthub.coop,https://clayelectric.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
erec,Escambia River Electric Cooperative (EREC),FL,live,erec.smarthub.coop,https://erec.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
fkec,Florida Keys Electric Cooperative (FKEC),FL,live,fkec.smarthub.coop,https://fkec.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
gcec,Gulf Coast Electric Cooperative (GCEC),FL,live,gcec.smarthub.coop,https://gcec.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
gladesec,Glades Electric Cooperative,FL,live,gladesec.smarthub.coop,https://gladesec.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
lcec,Lee County Electric Cooperative (LCEC),FL,live,lcec.smarthub.coop,https://lcec.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
preco,Peace River Electric Cooperative (PRECO),FL,live,preco.smarthub.coop,https://preco.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
svec_fl,Suwannee Valley Electric Cooperative (SVEC),FL,in-progress,,https://svec.coop,Suwannee Valley Electric Cooperative (FL). NOTE: the prior 'svec.smarthub.coop' host was WRONG (that host is Shenandoah Valley EC in VA). No FL SmartHub host confirmed yet (Jun 2026); needs verification. Manual upload until confirmed.
tcec,Tri-County Electric Cooperative,FL,live,tcec.smarthub.coop,https://tcec.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
tec,Talquin Electric Cooperative,FL,live,tec.smarthub.coop,https://tec.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
wrec,Withlacoochee River Electric Cooperative (WREC),FL,live,wrec.smarthub.coop,https://wrec.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
chelco,Choctawhatchee Electric Cooperative (CHELCO),FL,in-progress,,https://chelco.com,"Rural electric cooperative serving northwest Florida. No SmartHub host found (Jun 2026). May have bespoke portal at chelco.com, needs login verification. Manual PDF upload meanwhile."
cfec,Central Florida Electric Cooperative (CFEC),FL,in-progress,,https://cfec.com,"Rural electric cooperative. No SmartHub host found (Jun 2026). May have bespoke portal at cfec.com, needs login verification. Manual PDF upload meanwhile."
seco,Sumter Electric Cooperative (SECO),FL,in-progress,,https://sumteremc.com,"Rural electric cooperative. No SmartHub host found (Jun 2026). Has portal at sumteremc.com, needs login verification. Manual PDF upload meanwhile."
wfec,West Florida Electric Cooperative (WFEC),FL,in-progress,,https://wfec.com,"Rural electric cooperative. No SmartHub host found (Jun 2026). May have bespoke portal at wfec.com, needs login verification. Manual PDF upload meanwhile."
fpl,Florida Power & Light (FPL),FL,in-progress,,https://fpl.com,"Investor-owned utility (NextEra Energy), largest in Florida. Covers ~60% of state. Bespoke portal — adapter needs live login. Manual upload meanwhile."
duke,Duke Energy Florida,FL,in-progress,,https://duke-energy.com,"Investor-owned utility, serves central/northwest FL. Bespoke portal — adapter needs live login. Manual upload meanwhile."
teco,Tampa Electric Company (TECO),FL,in-progress,,https://tampaelectric.com,"Investor-owned utility (Emera Inc.), serves Tampa Bay area. Bespoke portal — adapter needs live login. Manual upload meanwhile."
fpuc,Florida Public Utilities Company (FPUC),FL,in-progress,,https://fpuc.com,"Investor-owned utility (NextEra Energy), serves northeast FL. Bespoke portal — adapter needs live login. Manual upload meanwhile."
jea,Jacksonville Electric Authority (JEA),FL,in-progress,,https://jea.com,Municipal utility serving Jacksonville. NOT on NISC SmartHub. Bespoke portal — adapter needs live login. Manual upload meanwhile.
gru,Gainesville Regional Utilities (GRU),FL,in-progress,,https://gru.com,Municipal utility serving Gainesville. NOT on NISC SmartHub. Bespoke portal — adapter needs live login. Manual upload meanwhile.
lakeland,Lakeland Electric,FL,in-progress,,https://lakelandelectric.com,Municipal utility serving Lakeland. NOT on NISC SmartHub. Bespoke portal — adapter needs live login. Manual upload meanwhile.
ouc,Orlando Utilities Commission (OUC),FL,in-progress,,https://ouc.com,Municipal utility serving Orlando. NOT on NISC SmartHub. Bespoke portal — adapter needs live login. Manual upload meanwhile.
kua,Kissimmee Utility Authority (KUA),FL,in-progress,,https://kuaconnect.com,Municipal utility serving Kissimmee. NOT on NISC SmartHub. Bespoke portal — adapter needs live login. Manual upload meanwhile.
tallahassee,City of Tallahassee Utilities,FL,in-progress,,https://talgov.com/you/you-electric.aspx,Municipal utility serving Tallahassee. NOT on NISC SmartHub. Bespoke portal — adapter needs live login. Manual upload meanwhile.
beaches,Beaches Energy Services,FL,in-progress,,https://beachesenergy.com,Municipal utility serving Jacksonville Beach. NOT on NISC SmartHub. Bespoke portal — adapter needs live login. Manual upload meanwhile.
fpua,Fort Pierce Utilities Authority (FPUA),FL,in-progress,,https://fpua.com,Municipal utility serving Fort Pierce. NOT on NISC SmartHub. Bespoke portal — adapter needs live login. Manual upload meanwhile.
homestead,City of Homestead Electric,FL,in-progress,,https://homesteadfl.gov,Municipal utility serving Homestead. NOT on NISC SmartHub. No clear customer portal found (Jun 2026). Manual upload meanwhile.
newsmyrna,Utilities Commission City of New Smyrna Beach,FL,in-progress,,https://cityofnsb.com,Municipal utility serving New Smyrna Beach. NOT on NISC SmartHub. No clear customer portal found (Jun 2026). Manual upload meanwhile.
