code,label,state,scrape_status,smarthub_host,portal_url,notes
bvea,Bridger Valley Electric Association,UT,live,bvea.smarthub.coop,https://bvea.smarthub.coop,"NISC SmartHub portal (bvea.smarthub.coop, confirmed Jun 2026). Serves Utah/Wyoming. kWh unverified on a real generation meter; verify before trusting reports."
dixie_power,Dixie Power (Dixie Escalante REC),UT,live,dixiepower.smarthub.coop,https://dixiepower.smarthub.coop,"NISC SmartHub portal (dixiepower.smarthub.coop, confirmed Jun 2026). ~25,000 members in Southern Utah/Northern Arizona. kWh unverified on a real generation meter; verify before trusting reports."
garkane,Garkane Energy Cooperative,UT,live,garkaneenergy.smarthub.coop,https://garkaneenergy.smarthub.coop,"NISC SmartHub portal (garkaneenergy.smarthub.coop, confirmed Jun 2026). kWh unverified on a real generation meter; verify before trusting reports."
mlea,Moon Lake Electric Association,UT,live,mlea.smarthub.coop,https://mlea.smarthub.coop,"NISC SmartHub portal (mlea.smarthub.coop, confirmed Jun 2026). Serves Colorado/Utah, HQ Roosevelt UT. kWh unverified on a real generation meter; verify before trusting reports."
mwpower,Mt. Wheeler Power,UT,live,mwpower.smarthub.coop,https://mwpower.smarthub.coop,"NISC SmartHub portal (mwpower.smarthub.coop, confirmed Jun 2026). 4,600+ accounts across Nevada/Utah. kWh unverified on a real generation meter; verify before trusting reports."
rrelectric,Raft River Rural Electric Co-op,UT,live,rrelectric.smarthub.coop,https://rrelectric.smarthub.coop,"NISC SmartHub portal (rrelectric.smarthub.coop, confirmed Jun 2026). 5,000+ customers in Idaho/Utah/Nevada, HQ Malta ID. kWh unverified on a real generation meter; verify before trusting reports."
wrec_ut,Wells Rural Electric Company,UT,in-progress,,https://wrec.smarthub.coop,[host unattributed] Wells Rural EC (UT/NV). wrec.smarthub.coop held by Withlacoochee River EC (FL). No distinct host found. Manual until verified.
beaver,City of Beaver (Beaver City Light & Power),UT,in-progress,,,Municipal electric system. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
blanding,City of Blanding,UT,in-progress,,,Municipal electric system. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
bountiful,Bountiful City Light & Power,UT,in-progress,,https://cityofbountifulut.municipalonlinepayments.com/cityofbountifulut/utilities,Municipal electric system. Bespoke portal (MunicipalOnlinePayments) — adapter needs a live login. Manual PDF upload meanwhile.
