code,label,state,scrape_status,smarthub_host,portal_url,notes
dte,DTE Energy (DTE Electric Company),MI,in-progress,,https://newlook.dteenergy.com/wps/wcm/connect/dte-web/login,"Southeast Michigan IOU (~2.2M customers). Proprietary portal, adapter needs live login. Manual upload meanwhile."
consumers,Consumers Energy,MI,in-progress,,https://www.consumersenergy.com/login,"Western/central Michigan IOU (~1.8M customers). Proprietary portal, adapter needs live login. Manual upload meanwhile."
uppco,Upper Peninsula Power Company (UPPCO),MI,in-progress,,https://www.uppco.com,"Upper Peninsula IOU (~55k customers). Uses Edmunds Associates portal, not SmartHub. Adapter needs live login. Manual upload meanwhile."
indiana_michigan,Indiana Michigan Power (I&M),MI,in-progress,,https://www.indianamichiganpower.com,"Southwest Michigan IOU. AEP subsidiary, proprietary portal. Adapter needs live login. Manual upload meanwhile."
algerdelta,Alger Delta Cooperative Electric Association,MI,live,algerdelta.smarthub.coop,https://algerdelta.smarthub.coop,NISC SmartHub portal (algerdelta.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
cloverland,Cloverland Electric Cooperative,MI,live,cloverland.smarthub.coop,https://cloverland.smarthub.coop,NISC SmartHub portal (cloverland.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
gle,Great Lakes Energy Cooperative,MI,live,glenergy.smarthub.coop,https://glenergy.smarthub.coop,NISC SmartHub portal (glenergy.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
homeworks,HomeWorks Tri-County Electric Cooperative,MI,live,homeworks.smarthub.coop,https://homeworks.smarthub.coop,NISC SmartHub portal (homeworks.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
midwest_energy,Midwest Energy & Communications,MI,live,teammidwest.smarthub.coop,https://teammidwest.smarthub.coop,NISC SmartHub portal (teammidwest.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
ontonagon,Ontonagon County REA,MI,live,ontorea.smarthub.coop,https://ontorea.smarthub.coop,NISC SmartHub portal (ontorea.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
pieg,Presque Isle Electric & Gas Co-op,MI,live,pieg.smarthub.coop,https://pieg.smarthub.coop,NISC SmartHub portal (pieg.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
tecmi,Thumb Electric Cooperative,MI,live,tecmi.smarthub.coop,https://tecmi.smarthub.coop,NISC SmartHub portal (tecmi.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
cherryland,Cherryland Electric Cooperative,MI,in-progress,,https://cherrylandelectric.coop,"Northwest Michigan co-op. Likely NISC SmartHub (per industry pattern) but specific host slug unverified (tried cherrylandelectric.smarthub.coop, cherryland.smarthub.coop — both 000). Manual upload until host confirmed."
lansing_bwl,Lansing Board of Water & Light,MI,in-progress,,https://www.lbwl.com,"Lansing muni (~100k customers, largest in MI). Proprietary portal, not SmartHub. Adapter needs live login. Manual upload meanwhile."
holland_bpw,Holland Board of Public Works,MI,in-progress,,https://www.hollandbpw.com,"Holland muni (~27k customers). Proprietary portal, not SmartHub. Adapter needs live login. Manual upload meanwhile."
traverse_city,Traverse City Light & Power,MI,in-progress,,https://www.tclp.org,"Traverse City muni (~12k customers). Proprietary portal, not SmartHub. Adapter needs live login. Manual upload meanwhile."
marquette_blp,Marquette Board of Light & Power,MI,in-progress,,https://www.mblp.org,"Marquette muni (Upper Peninsula). Proprietary portal, not SmartHub. Adapter needs live login. Manual upload meanwhile."
bay_city,Bay City Electric Light & Power,MI,in-progress,,https://www.baycitymi.org,"Bay City muni. MPPA member, likely uses mpower.org portal. Adapter needs live login. Manual upload meanwhile."
grand_haven,Grand Haven Board of Light & Power,MI,in-progress,,https://www.grandhaven.org,"Grand Haven muni. MPPA member, likely uses mpower.org portal. Adapter needs live login. Manual upload meanwhile."
wyandotte,Wyandotte Municipal Services,MI,in-progress,,https://www.wyandotte.net,"Wyandotte muni. MPPA member, likely uses mpower.org portal. Adapter needs live login. Manual upload meanwhile."
zeeland,Zeeland Board of Public Works,MI,in-progress,,https://www.zeelandbpw.com,"Zeeland muni. MPPA member, likely uses mpower.org portal. Adapter needs live login. Manual upload meanwhile."
charlevoix,City of Charlevoix,MI,in-progress,,,Charlevoix muni. MPPA member. No SmartHub host or customer portal found (Jun 2026). Manual upload until portal confirmed.
chelsea,Chelsea Municipal Electric,MI,in-progress,,,Chelsea muni. MPPA member. No SmartHub host or customer portal found (Jun 2026). Manual upload until portal confirmed.
