code,label,state,scrape_status,smarthub_host,portal_url,notes
aps,Arizona Public Service (APS),AZ,in-progress,,https://www.aps.com/,"Largest AZ IOU (~1.4M customers, 11 of 15 counties). Bespoke portal, adapter needs live login. Manual PDF upload meanwhile."
tep,Tucson Electric Power (TEP),AZ,in-progress,,https://www.tep.com/,"IOU serving Tucson metro (~458k customers). Bespoke portal, adapter needs live login. Manual PDF upload meanwhile."
uns,UNS Electric (UniSource Energy Services),AZ,in-progress,,https://www.uesaz.com/,"IOU serving Mohave/Santa Cruz counties (~107k customers). Bespoke portal, adapter needs live login. Manual PDF upload meanwhile."
srp,Salt River Project (SRP),AZ,in-progress,,https://www.srpnet.com/,"Community-based not-for-profit, ~1M customers in Phoenix metro. Bespoke portal, adapter needs live login. Manual PDF upload meanwhile."
ajo,Ajo Improvement Company,AZ,in-progress,,,Small IOU serving Ajo area (Pima County). No public portal found (Jun 2026). Manual PDF upload until confirmed otherwise.
morenci,"Morenci Water & Electric Company (Freeport-McMoRan subsidiary, mine operations)",AZ,manual,,,Mine-owned IOU serving Morenci copper mine operations (Greenlee County). No public customer portal. Manual PDF upload.
navopache,Navopache Electric Cooperative,AZ,live,navopache.smarthub.coop,https://navopache.smarthub.coop,NISC SmartHub portal (navopache.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
ssvec,Sulphur Springs Valley Electric Cooperative (SSVEC),AZ,live,ssvec.smarthub.coop,https://ssvec.smarthub.coop,NISC SmartHub portal (ssvec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
trico,Trico Electric Cooperative,AZ,live,trico.smarthub.coop,https://trico.smarthub.coop,NISC SmartHub portal (trico.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
graham_az,Graham County Electric Cooperative,AZ,live,gcec.smarthub.coop,https://gcec.smarthub.coop,"Graham County Electric Cooperative (Pima, AZ). Their website links to gcec.smarthub.coop, but that host is already claimed by Gulf Coast Electric Cooperative (FL). SmartHub host collision — needs resolution with NISC to determine correct host. Manual PDF upload meanwhile. SmartHub host auto-discovered + siteName-verified ('Graham County Electric Co-op') Jul 2026."
mohave,Mohave Electric Cooperative,AZ,live,mohaveelectric.smarthub.coop,https://mohaveelectric.smarthub.coop,NISC SmartHub portal (mohaveelectric.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
columbuscoop,Columbus Electric Cooperative,AZ,live,columbuscoop.smarthub.coop,https://columbuscoop.smarthub.coop,NISC SmartHub portal (columbuscoop.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
dvec,Duncan Valley Electric Cooperative,AZ,in-progress,,https://dvec.org/,"Multi-state co-op (Graham/Greenlee AZ, Grant/Hidalgo NM). No SmartHub host found (Jun 2026), checked dvec/duncanvalley/duncan/dv patterns. Manual PDF upload until portal confirmed."
mesa,City of Mesa (Mesa Utilities Department),AZ,in-progress,,https://www.mesaaz.gov/Utilities/Energy/Electric,"Municipal utility serving downtown Mesa (~18k customers, 5.5 sq mi). No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed."
safford,City of Safford (Safford Electric Department),AZ,in-progress,,https://cityofsafford.us/227/Electricity,"Municipal utility serving Safford (~5.3k customers, Graham County). No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed."
