code,label,state,scrape_status,smarthub_host,portal_url,notes
barton,Village of Barton (Barton Village Electric),VT,live,bartonelectric.smarthub.coop,https://bartonelectric.smarthub.coop,"NISC SmartHub portal (bartonelectric.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
enosburg,Village of Enosburg Falls,VT,live,villageofenosburgfalls.smarthub.coop,https://villageofenosburgfalls.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
gmp,Green Mountain Power (GMP),VT,live,,https://greenmountainpower.com,85% of VT solar generation. Fully automated via Chrome extension.
hyde_park,Village of Hyde Park,VT,live,villageofhydepark.smarthub.coop,https://villageofhydepark.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
ludlow,Village of Ludlow Electric Light Department,VT,live,ludlow.smarthub.coop,https://ludlow.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
stowe,Village of Stowe Electric Department,VT,live,stoweelectric.smarthub.coop,https://stoweelectric.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real Stowe generation meter; verify before trusting reports.
vec,Vermont Electric Cooperative,VT,live,vermontelectric.smarthub.coop,https://vermontelectric.smarthub.coop,NISC SmartHub portal — Chrome extension scrapes billing history and usage data. kWh data unverified on production generation accounts; test with a real VEC generation meter before trusting reports.
wec,Washington Electric Co-op,VT,live,washingtonelectric.smarthub.coop,https://washingtonelectric.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real WEC generation meter; verify before trusting reports.
bed,Burlington Electric Department,VT,in-progress,,https://burlingtonelectric.com,"BED MyAccount — bespoke portal, not SmartHub. Adapter needs a live login to reverse-engineer (GMP-style). Manual PDF upload accepted meanwhile."
hardwick,Hardwick Electric Department,VT,in-progress,,https://hardwickelectric.com,"Hardwick muni — own .com site (hardwickelectric.com), NOT on NISC SmartHub. Adapter needs a live login. Manual PDF upload accepted meanwhile."
jacksonville,Village of Jacksonville Electric Department,VT,in-progress,,,VPPSA member. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
johnson,Village of Johnson (Johnson Water & Light),VT,in-progress,,,VPPSA member. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
lyndonville,Village of Lyndonville Electric Department,VT,in-progress,,,VPPSA member. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
morrisville,Village of Morrisville Water & Light Department,VT,in-progress,,,VPPSA member. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
northfield,Village of Northfield Electric Department,VT,in-progress,,,VPPSA member. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
orleans,Village of Orleans Electric Department,VT,in-progress,,,VPPSA member. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
swanton,Village of Swanton (Swanton Village Electric Dept.),VT,in-progress,,,VPPSA member. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
readsboro,Readsboro Electric Light Department,VT,manual,,,VPPSA member. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until confirmed otherwise.
