code,label,state,scrape_status,smarthub_host,portal_url,notes
arkvalley,Arkansas Valley Electric Cooperative Corporation (AVECC),AR,live,avecc.smarthub.coop,https://avecc.smarthub.coop,"NISC SmartHub portal — extension scrapes billing + usage. HOST FIXED Jul 2026: previous arkvalley.smarthub.coop belongs to Ark Valley Electric Cooperative Assn (South Hutchinson, KS — its own site arkvalley.com links it); AVECC's own site avecc.com links avecc.smarthub.coop (siteName 'MyAVECC'). kWh unverified on a real generation meter; verify before trusting reports."
ashleychicot,Ashley-Chicot Electric Cooperative,AR,live,ashleychicot.smarthub.coop,https://ashleychicot.smarthub.coop,NISC SmartHub portal (ashleychicot.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter.
carroll,Carroll Electric Cooperative,AR,live,cecpower.smarthub.coop,https://cecpower.smarthub.coop,NISC SmartHub portal (cecpower.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter.
claycounty_ar,Clay County Electric Cooperative,AR,live,claycountyelectric.smarthub.coop,https://claycountyelectric.smarthub.coop,NISC SmartHub portal (claycountyelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter.
craighead,Craighead Electric Cooperative,AR,live,craigheadelectric.smarthub.coop,https://craigheadelectric.smarthub.coop,NISC SmartHub portal (craigheadelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter.
farmers,Farmers Electric Cooperative,AR,live,farmers.smarthub.coop,https://farmers.smarthub.coop,NISC SmartHub portal (farmers.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter.
firstelectric,First Electric Cooperative,AR,live,firstelectric.smarthub.coop,https://firstelectric.smarthub.coop,NISC SmartHub portal (firstelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter.
mcec,Mississippi County Electric Cooperative,AR,live,mceci.smarthub.coop,https://mceci.smarthub.coop,Confirmed live SmartHub host via discovery sweep 2026-07-09. [host unattributed] Mississippi County EC (AR). mcec.smarthub.coop could not be uniquely attributed (Jun 2026); needs verification before going live. Manual upload meanwhile.
ozarks,Ozarks Electric Cooperative,AR,live,ozarksecc.smarthub.coop,https://ozarksecc.smarthub.coop,NISC SmartHub portal (ozarksecc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter.
pjecc,Petit Jean Electric Cooperative,AR,live,pjecc.smarthub.coop,https://pjecc.smarthub.coop,NISC SmartHub portal (pjecc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter.
rmec,Rich Mountain Electric Cooperative,AR,live,rmec.smarthub.coop,https://rmec.smarthub.coop,NISC SmartHub portal (rmec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter.
scaec,South Central Arkansas Electric Cooperative,AR,live,scaec.smarthub.coop,https://scaec.smarthub.coop,NISC SmartHub portal (scaec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter.
swrea,Southwest Arkansas Electric Cooperative,AR,live,swrea.smarthub.coop,https://swrea.smarthub.coop,NISC SmartHub portal (swrea.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter.
clelectric,C&L Electric Cooperative,AR,in-progress,,https://ebiz.clelectric.com,"Cleveland and Lincoln Counties co-op. Uses eBiz portal (ebiz.clelectric.com), not SmartHub. Manual PDF upload accepted meanwhile."
naec,North Arkansas Electric Cooperative,AR,in-progress,,https://billing.naeci.com/oscp,"Bespoke customer portal at billing.naeci.com/oscp, not SmartHub. Manual PDF upload accepted meanwhile."
ouachita,Ouachita Electric Cooperative,AR,in-progress,,https://ebill.oecc.com/oscp,"Bespoke customer portal at ebill.oecc.com/oscp, not SmartHub. Manual PDF upload accepted meanwhile."
woodruff,Woodruff Electric Cooperative,AR,in-progress,,https://ebiz.woodruffelectric.com,"Uses eBiz portal (ebiz.woodruffelectric.com), not SmartHub. Manual PDF upload accepted meanwhile."
entergy_ar,Entergy Arkansas,AR,in-progress,,https://www.myentergy.com/login,"Investor-owned utility (IOU), ~735k customers. MyEntergy customer portal — bespoke, adapter needs live login. Manual PDF upload meanwhile."
swepco,SWEPCO (Southwestern Electric Power Company),AR,in-progress,,https://www.swepco.com/account/login,"Investor-owned utility (IOU), AEP subsidiary. Bespoke customer portal — adapter needs live login. Manual PDF upload meanwhile."
oge,Oklahoma Gas & Electric (OG&E),AR,in-progress,,https://www.oge.com/wps/portal/ord/signin,"Investor-owned utility (IOU), serves western Arkansas. Bespoke customer portal — adapter needs live login. Manual PDF upload meanwhile."
empire,Empire District Electric / Liberty Utilities,AR,in-progress,,https://myaccount.libertyenergyandwater.com/portal,"Investor-owned utility (IOU), serves AR-MO border areas. Liberty Utilities portal — adapter needs live login. Manual PDF upload meanwhile."
jonesboro_cwl,Jonesboro City Water & Light,AR,in-progress,,https://jonesborocwl.org,"Municipal utility. Bespoke customer portal, not SmartHub. Manual PDF upload meanwhile."
conway_corp,Conway Corporation,AR,in-progress,,https://my.conwaycorp.com/www/Login.aspx,"Municipal utility. Bespoke customer portal, not SmartHub. Manual PDF upload meanwhile."
bentonville,City of Bentonville Electric,AR,in-progress,,https://www.bentonvillear.com/myaccount,"Municipal utility. Invoice Cloud portal, not SmartHub. Manual PDF upload meanwhile."
benton,City of Benton Electric,AR,live,bentonutilities.smarthub.coop,https://bentonutilities.smarthub.coop,Confirmed live SmartHub host via discovery sweep 2026-07-09. Municipal utility. No customer portal found (Jun 2026). Manual PDF upload until confirmed.
siloam_springs,City of Siloam Springs Electric,AR,in-progress,,,Municipal utility operating since 1903. No customer portal found (Jun 2026). Manual PDF upload until confirmed.
