code,label,state,scrape_status,smarthub_host,portal_url,notes
emec,Eastern Maine Electric Cooperative,ME,live,emec.smarthub.coop,https://emec.smarthub.coop,NISC SmartHub portal (emec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
klpd,Kennebunk Light & Power District,ME,live,klpd.smarthub.coop,https://klpd.smarthub.coop,"NISC SmartHub portal (klpd.smarthub.coop confirmed Jun 2026, launched Mar 2026). Serves Kennebunk, Wells, Arundel, Lyman. kWh unverified on a real generation meter; verify before trusting reports."
cmp,Central Maine Power (CMP),ME,in-progress,,https://portal.cmpco.com,"Avangrid subsidiary (Iberdrola). Serves southern/coastal ME (Augusta, Brunswick, Lewiston, Portland). Bespoke portal, adapter needs a live login. Manual PDF upload meanwhile."
versant,"Versant Power (BHD, MPD)",ME,in-progress,,https://secure.versantpower.com/webportal/index.cfm,"ENMAX subsidiary. Serves eastern/northern ME (Bangor, Ellsworth, Caribou). Two divisions: Bangor Hydro District (BHD), Maine Public District (MPD). Bespoke webportal — adapter needs live login. Manual upload meanwhile. NOTE Jul 2026: mpd.smarthub.coop brands 'MPD Electric' but versantpower.com links no SmartHub — single-signal, NOT wired; host left unattributed (needs human review)."
madison,Madison Electric Works,ME,in-progress,,https://www.madelec.net/online-bill-pay,"Municipal utility serving Madison, Anson, Starks, Norridgewock (~2700 customers). Online bill pay via Invoice Cloud (not SmartHub). Adapter needs a live login. Manual PDF upload meanwhile."
vanburen,Van Buren Light & Power District,ME,manual,,,VPPSA-style municipal. No SmartHub host found (Jun 2026). Manual PDF upload until a portal is confirmed.
houlton,Houlton Water Company (Electric),ME,manual,,https://www.hwco.org,"Municipal utility (Houlton Water Company electric division). No SmartHub host found (Jun 2026), no customer portal identified. Manual PDF upload until a portal is confirmed."
fox_island,Fox Island Electric Cooperative,ME,manual,,https://www.foxislands.net,"Island cooperative serving Vinalhaven, North Haven. No SmartHub host found (Jun 2026). Manual PDF upload until a portal is confirmed."
matinicus,Matinicus Plantation Electric,ME,manual,,,Island utility (diesel + solar generation). No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a portal is confirmed.
monhegan,Monhegan Plantation Power District,ME,manual,,https://www.monheganpower.com,Island utility (diesel generation). No SmartHub host found (Jun 2026). Manual PDF upload until a portal is confirmed.
isleauhaut,Isle au Haut Electric Power Company,ME,manual,,https://iahpoco.org,"Island cooperative (NRECA member). No SmartHub host found (Jun 2026), no customer portal identified. Manual PDF upload until a portal is confirmed."
