code,label,state,scrape_status,smarthub_host,portal_url,notes
bdec,Burke Divide Electric Cooperative,ND,live,bdec.smarthub.coop,https://bdec.smarthub.coop,"Distribution co-op serving Burke and Divide counties, ND. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed. SmartHub host auto-discovered + siteName-verified ('Burke-Divide Electric Cooperative') Jul 2026."
capitalelec,Capital Electric Cooperative,ND,live,capitalelec.smarthub.coop,https://capitalelec.smarthub.coop,NISC SmartHub portal (capitalelec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
kwh,Cass County Electric Cooperative,ND,live,kwh.smarthub.coop,https://kwh.smarthub.coop,NISC SmartHub portal (kwh.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
cavalierrec,Cavalier Rural Electric Cooperative,ND,live,cavalierrural.smarthub.coop,https://cavalierrural.smarthub.coop,"Confirmed live SmartHub host via discovery sweep 2026-07-09. Distribution co-op serving Cavalier County area, ND. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed."
dakotavalley,Dakota Valley Electric Cooperative,ND,live,dakotavalley.smarthub.coop,https://dakotavalley.smarthub.coop,NISC SmartHub portal (dakotavalley.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
kemelectric,KEM Electric Cooperative,ND,live,kemelectric.smarthub.coop,https://kemelectric.smarthub.coop,NISC SmartHub portal (kemelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
lyrec_nd,Lower Yellowstone Rural Electric Cooperative,ND,in-progress,,https://lyrec.smarthub.coop,[host corrected] Lower Yellowstone REC (ND). lyrec.smarthub.coop belongs to Lyon REC (IA). No distinct ND host confirmed (Jun 2026). Manual upload until verified.
mckenzieelectric,McKenzie Electric Cooperative,ND,live,mckenzieelectric.smarthub.coop,https://mckenzieelectric.smarthub.coop,NISC SmartHub portal (mckenzieelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
mcleanelectric,McLean Electric Cooperative,ND,live,mcleanelectric.smarthub.coop,https://mcleanelectric.smarthub.coop,NISC SmartHub portal (mcleanelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
morgransou,Mor-Gran-Sou Electric Cooperative,ND,live,morgransou.smarthub.coop,https://morgransou.smarthub.coop,NISC SmartHub portal (morgransou.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
nd_mwec,Mountrail-Williams Electric Cooperative,ND,live,mwec.smarthub.coop,https://mwec.smarthub.coop,"CRITICAL BUG: SmartHub host mwec.smarthub.coop (verified Jun 2026) belongs to THIS co-op (Mountrail-Williams, ND), but IN.csv incorrectly assigned it to non-existent ""Midwestern Electric"". Cannot mark live until IN.csv is corrected to remove the collision. The IN entry should likely be ""Midwest Energy & Communications"" (teammidwest.smarthub.coop). Manual PDF upload meanwhile. SmartHub host auto-discovered + siteName-verified ('Mountrail-Williams Electric Cooperative') Jul 2026."
nodakelectric,Nodak Electric Cooperative,ND,live,nodakelectric.smarthub.coop,https://nodakelectric.smarthub.coop,NISC SmartHub portal (nodakelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
nceci,North Central Electric Cooperative,ND,live,nceci.smarthub.coop,https://nceci.smarthub.coop,NISC SmartHub portal (nceci.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. ND-specific host; northcentralelectric.smarthub.coop is used by MS co-op. kWh unverified on a real generation meter; verify before trusting reports.
nplains,Northern Plains Electric Cooperative,ND,live,nplains.smarthub.coop,https://nplains.smarthub.coop,NISC SmartHub portal (nplains.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
roughriderelectric,Roughrider Electric Cooperative,ND,live,roughriderelectric.smarthub.coop,https://roughriderelectric.smarthub.coop,NISC SmartHub portal (roughriderelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
slopeelectric,Slope Electric Cooperative,ND,live,slopeelectric.smarthub.coop,https://slopeelectric.smarthub.coop,NISC SmartHub portal (slopeelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
verendrye,Verendrye Electric Cooperative,ND,live,verendrye.smarthub.coop,https://verendrye.smarthub.coop,NISC SmartHub portal (verendrye.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
montana_dakota,Montana-Dakota Utilities Co.,ND,in-progress,,https://www.montana-dakota.com/,"Investor-owned utility serving parts of MT, ND, SD, WY (273 communities, 435,350+ customers). Headquarters: Bismarck, ND. Bespoke customer portal — adapter needs a live login to reverse-engineer. Manual PDF upload meanwhile."
xcel_nd,Xcel Energy (Northern States Power - ND),ND,in-progress,,https://nd.my.xcelenergy.com/s/,"Northern States Power Company d/b/a Xcel Energy. Investor-owned utility serving Fargo, Grand Forks, Minot, and smaller ND communities. Bespoke customer portal — adapter needs a live login. Manual PDF upload meanwhile."
ottertail,Otter Tail Power Company,ND,in-progress,,https://www.otpco.com/,"Investor-owned utility serving western MN, eastern ND, northeastern SD (422 communities, 133,900 customers across 70,000 sq mi). Bespoke customer portal — adapter needs a live login. Manual PDF upload meanwhile."
nd_cavalier,City of Cavalier (Municipal Electric),ND,manual,,,Cavalier municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
nd_grafton,Grafton Municipal Utilities,ND,in-progress,,https://graftonnd.gov/departments/municipal_utilities/,"Grafton, ND municipal utility. NMPA member. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed."
nd_hillsboro,City of Hillsboro (Municipal Electric),ND,manual,,,Hillsboro municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
nd_hope,Hope Municipal Utilities,ND,manual,,,"Hope, ND municipal utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload."
