code,label,state,scrape_status,smarthub_host,portal_url,notes
butler,Butler Municipal Electric Light & Power,NJ,live,butler.smarthub.coop,https://butler.smarthub.coop,"NISC SmartHub portal (butler.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
sussex_rec,Sussex Rural Electric Cooperative,NJ,in-progress,,https://www.srecbillpay.com,"Electric co-op serving Sussex County (11K+ members). Third-party bill pay portal (srecbillpay.com), NOT on NISC SmartHub. Adapter needs a live login. Manual PDF upload meanwhile."
pseg,Public Service Electric & Gas (PSE&G),NJ,in-progress,,https://nj.pseg.com,"Largest IOU in NJ (1.8M customers, 55% of state). PSE&G MyAccount — bespoke portal, adapter needs a live login. Manual upload meanwhile."
jcpl,Jersey Central Power & Light (JCP&L),NJ,in-progress,,https://www.firstenergycorp.com/jersey_central_power_light.html,"Second-largest IOU (971K customers, 29% of state). FirstEnergy online account portal — bespoke, adapter needs a live login. Manual upload meanwhile."
ace,Atlantic City Electric (ACE),NJ,in-progress,,https://secure.atlanticcityelectric.com/accounts/login,"Third-largest IOU (565K customers, 14% of state, southern NJ). Exelon-owned. Atlantic City Electric portal — bespoke, adapter needs a live login. Manual upload meanwhile."
reco,Rockland Electric Company,NJ,in-progress,,https://www.oru.com/en/login,"IOU serving northwestern Bergen County (72K customers, <2% of state). Orange & Rockland Utilities portal — bespoke, adapter needs a live login. Manual upload meanwhile."
vineland,Vineland Municipal Utilities,NJ,in-progress,,https://vmupay.vinelandcity.org/css,"Largest municipal in NJ. City of Vineland. Third-party bill pay portal (vmupay.vinelandcity.org), NOT on NISC SmartHub. Adapter needs a live login. Manual PDF upload meanwhile."
nj_madison,Madison Borough Electric Utility,NJ,in-progress,,,NJPPA member municipal. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
lavallette,Lavallette Electric Department,NJ,in-progress,,,NJPPA member municipal. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
milltown,Milltown Electric Department,NJ,in-progress,,,NJPPA member municipal. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
park_ridge,Park Ridge Electric Department,NJ,in-progress,,,NJPPA member municipal. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
pemberton,Pemberton Electric Department,NJ,in-progress,,,NJPPA member municipal. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
seaside_heights,Seaside Heights Electric Department,NJ,in-progress,,,NJPPA member municipal. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
south_river,South River Electric Department,NJ,in-progress,,,NJPPA member municipal. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
