code,label,state,scrape_status,smarthub_host,portal_url,notes
aep_ohio,Ohio Power (AEP Ohio),OH,in-progress,,https://www.aepohio.com,"American Electric Power (AEP) Ohio — investor-owned utility, serves central/southern OH. Bespoke customer portal, adapter needs live login. Manual upload meanwhile."
firstenergy_cei,Cleveland Electric Illuminating (FirstEnergy),OH,in-progress,,https://www.firstenergycorp.com/cel.html,"FirstEnergy subsidiary serving Cleveland metro. FirstEnergy MyAccount portal — bespoke, adapter needs live login. Manual upload meanwhile."
firstenergy_oe,Ohio Edison (FirstEnergy),OH,in-progress,,https://www.firstenergycorp.com/oe.html,"FirstEnergy subsidiary serving northeast/north-central OH. FirstEnergy MyAccount portal — bespoke, adapter needs live login. Manual upload meanwhile."
firstenergy_te,Toledo Edison (FirstEnergy),OH,in-progress,,https://www.firstenergycorp.com/te.html,"FirstEnergy subsidiary serving northwest OH. FirstEnergy MyAccount portal — bespoke, adapter needs live login. Manual upload meanwhile."
duke_ohio,Duke Energy Ohio,OH,in-progress,,https://www.duke-energy.com/home/billing/make-a-payment,"Duke Energy Ohio — investor-owned utility, serves southwest OH (Cincinnati metro). Duke portal — bespoke, adapter needs live login. Manual upload meanwhile."
dayton_pl,Dayton Power & Light (AES Ohio),OH,in-progress,,https://www.aes-ohio.com,"Dayton Power & Light (DP&L), now AES Ohio — investor-owned utility, serves Dayton metro. Bespoke customer portal, adapter needs live login. Manual upload meanwhile."
oh_frontierpower,Frontier Power Company,OH,live,frontierpower.smarthub.coop,https://frontierpower.smarthub.coop,"NISC SmartHub portal (frontierpower.smarthub.coop, verified Jun 2026) — extension scrapes billing + usage. Rural electric cooperative. kWh unverified on a real generation meter; verify before trusting reports."
oh_northcentral,North Central Electric Cooperative,OH,live,ncelec.smarthub.coop,https://ncelec.smarthub.coop,Confirmed live SmartHub host via discovery sweep 2026-07-09. Electric cooperative. SmartHub host northcentralelectric.smarthub.coop already claimed by MS utility (different co-op). Could not find distinct OH-specific SmartHub host (Jun 2026). Manual upload until correct portal confirmed.
ppec,Paulding Putnam Electric Cooperative,OH,live,ppec.smarthub.coop,https://ppec.smarthub.coop,"NISC SmartHub portal (ppec.smarthub.coop, verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
oh_southcentral,South Central Power Company,OH,live,southcentralpower.smarthub.coop,https://southcentralpower.smarthub.coop,"NISC SmartHub portal (southcentralpower.smarthub.coop, verified Jun 2026) — extension scrapes billing + usage. Electric cooperative. kWh unverified on a real generation meter; verify before trusting reports."
oh_tec,The Energy Cooperative,OH,live,theenergycoop.smarthub.coop,https://theenergycoop.smarthub.coop,"NISC SmartHub portal (theenergycoop.smarthub.coop, verified Jun 2026) — extension scrapes billing + usage. Electric cooperative. kWh unverified on a real generation meter; verify before trusting reports."
oh_washingtonec,Washington Electric Cooperative,OH,live,weci.smarthub.coop,https://weci.smarthub.coop,"NISC SmartHub portal — extension scrapes billing + usage. siteName 'Washington Electric Cooperative, Inc.' + the co-op's own site weci.org (Marietta OH) links this host — verified Jul 2026. kWh unverified on a real generation meter; verify before trusting reports."
oh_consolidated,Consolidated Cooperative,OH,live,consolidatedelectric.smarthub.coop,https://consolidatedelectric.smarthub.coop,"NISC SmartHub portal (consolidatedelectric.smarthub.coop, verified Jun 2026) — extension scrapes billing + usage. Electric cooperative. kWh unverified on a real generation meter; verify before trusting reports."
oh_pioneerec,Pioneer Rural Electric Cooperative,OH,live,pioneerec.smarthub.coop,https://pioneerec.smarthub.coop,"NISC SmartHub portal (pioneerec.smarthub.coop, verified Jun 2026) — extension scrapes billing + usage. Electric cooperative. kWh unverified on a real generation meter; verify before trusting reports."
bowling_green_oh,Bowling Green Municipal Utilities,OH,in-progress,,,Municipal electric. SmartHub host bgmu.smarthub.coop belongs to Bowling Green KY (different utility). Could not find distinct OH-specific SmartHub host (Jun 2026). Manual upload until correct portal confirmed.
oh_hamilton,Hamilton Municipal Electric,OH,live,hamiltonelectric.smarthub.coop,https://hamiltonelectric.smarthub.coop,"NISC SmartHub portal (hamiltonelectric.smarthub.coop, verified Jun 2026) — extension scrapes billing + usage. Municipal electric. kWh unverified on a real generation meter; verify before trusting reports."
oh_shelby,Shelby Municipal Electric,OH,live,shelbyelectric.smarthub.coop,https://shelbyelectric.smarthub.coop,"NISC SmartHub portal (shelbyelectric.smarthub.coop, verified Jun 2026) — extension scrapes billing + usage. Municipal electric. kWh unverified on a real generation meter; verify before trusting reports."
oh_carroll,Carroll Electric Cooperative,OH,in-progress,,,Electric cooperative serving Carroll County area. No SmartHub host found (Jun 2026). Manual upload until portal confirmed.
oh_delaware_rec,Delaware Rural Electric Cooperative,OH,live,consolidatedelectriccoop.smarthub.coop,https://consolidatedelectriccoop.smarthub.coop,Confirmed live SmartHub host via discovery sweep 2026-07-09. Electric cooperative. No SmartHub host found (Jun 2026). Manual upload until portal confirmed.
oh_guernsey_muskingum,Guernsey-Muskingum Electric Cooperative,OH,live,gmenergy.smarthub.coop,https://gmenergy.smarthub.coop,Confirmed live SmartHub host via discovery sweep 2026-07-09. Electric cooperative. No SmartHub host found (Jun 2026). Manual upload until portal confirmed.
oh_hancockwood,Hancock-Wood Electric Cooperative,OH,in-progress,,,Electric cooperative serving northwest OH. No SmartHub host found (Jun 2026). Manual upload until portal confirmed.
oh_holmeswayne,Holmes-Wayne Electric Cooperative,OH,live,hwecoop.smarthub.coop,https://hwecoop.smarthub.coop,Confirmed live SmartHub host via discovery sweep 2026-07-09. Electric cooperative. No SmartHub host found (Jun 2026). Manual upload until portal confirmed.
oh_lorain_medina,Lorain-Medina Rural Electric Cooperative,OH,live,lmre.smarthub.coop,https://lmre.smarthub.coop,Confirmed live SmartHub host via discovery sweep 2026-07-09. Electric cooperative. No SmartHub host found (Jun 2026). Manual upload until portal confirmed.
oh_midwest,Midwest Electric,OH,live,midwestrec.smarthub.coop,https://midwestrec.smarthub.coop,Confirmed live SmartHub host via discovery sweep 2026-07-09. Electric cooperative. No SmartHub host found (Jun 2026). Manual upload until portal confirmed.
