code,label,state,scrape_status,smarthub_host,portal_url,notes
comed,Commonwealth Edison (ComEd),IL,in-progress,,https://secure.comed.com,"Exelon subsidiary serving Chicago and northern IL. Investor-owned, NOT SmartHub. Adapter needs a live login. Manual PDF upload meanwhile."
ameren_il,Ameren Illinois,IL,in-progress,,https://ameren.com,"Ameren Illinois (formerly CIPS, CILCO, IP). Investor-owned serving central and southern IL, NOT SmartHub. Adapter needs a live login. Manual PDF upload meanwhile."
midamerican,MidAmerican Energy,IL,in-progress,,https://midamericanenergy.com,"MidAmerican Energy Company (Berkshire Hathaway). Serves western IL (Quad Cities area) + IA. Investor-owned, NOT SmartHub. Adapter needs a live login. Manual PDF upload meanwhile."
adams,Adams Electric Cooperative,IL,live,adams.smarthub.coop,https://adams.smarthub.coop,NISC SmartHub portal (adams.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
clay,Clay Electric Co-operative,IL,in-progress,,,Clay Electric Co-operative (IL). No unique SmartHub host found (clayelectric.smarthub.coop belongs to FL co-op). Manual PDF upload until portal confirmed.
cmec,Coles-Moultrie Electric Cooperative,IL,in-progress,,,Coles-Moultrie Electric Cooperative. SmartHub host cmec.smarthub.coop already used by Clarke-Washington EMC (AL). No unique IL host found. Manual PDF upload until portal confirmed.
cornbelt,Corn Belt Energy Corporation,IL,live,cornbeltenergy.smarthub.coop,https://cornbeltenergy.smarthub.coop,NISC SmartHub portal (cornbeltenergy.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
eiec,Eastern Illini Electric Cooperative,IL,live,eiec.smarthub.coop,https://eiec.smarthub.coop,NISC SmartHub portal (eiec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
egyptian,Egyptian Electric Cooperative Association,IL,live,egyptian.smarthub.coop,https://egyptian.smarthub.coop,NISC SmartHub portal (egyptian.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
enerstar,EnerStar Electric Cooperative,IL,live,enerstar.smarthub.coop,https://enerstar.smarthub.coop,NISC SmartHub portal (enerstar.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
mcdonough,McDonough Power Cooperative,IL,live,mcdonoughpower.smarthub.coop,https://mcdonoughpower.smarthub.coop,NISC SmartHub portal (mcdonoughpower.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
mcec_il,Monroe County Electric Co-Operative,IL,in-progress,,,Monroe County Electric Co-Operative (IL). SmartHub host mcec.smarthub.coop already used by AR/MS co-ops. No unique IL host found. Manual PDF upload until portal confirmed.
mec_il,Menard Electric Cooperative,IL,in-progress,,,Menard Electric Cooperative. SmartHub host mec.smarthub.coop already used by multiple other co-ops. No unique IL host found. Manual PDF upload until portal confirmed.
norris,Norris Electric Cooperative,IL,live,norriselectric.smarthub.coop,https://norriselectric.smarthub.coop,NISC SmartHub portal (norriselectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
recc_il,Rural Electric Convenience Cooperative (RECC),IL,in-progress,,,Rural Electric Convenience Cooperative (IL). SmartHub host recc.smarthub.coop already used by multiple KY co-ops. No unique IL host found. Manual PDF upload until portal confirmed.
seiec,SouthEastern Illinois Electric Cooperative,IL,live,seiec.smarthub.coop,https://seiec.smarthub.coop,NISC SmartHub portal (seiec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
siec,Southern Illinois Electric Cooperative,IL,live,siec.smarthub.coop,https://siec.smarthub.coop,NISC SmartHub portal (siec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
srec_il,Spoon River Electric Cooperative,IL,in-progress,,,Spoon River Electric Cooperative. SmartHub host srec.smarthub.coop already used by Steuben Rural (NY). No unique IL host found. Manual PDF upload until portal confirmed.
clinton_cec,Clinton County Electric Cooperative,IL,in-progress,,,Clinton County Electric Cooperative. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
jocarroll,Jo-Carroll Energy,IL,in-progress,,https://jocarroll.com,Jo-Carroll Energy. No SmartHub host found; appears to have own portal at jocarroll.com. Adapter needs a live login. Manual PDF upload meanwhile.
wayne_white,Wayne-White Counties Electric Cooperative,IL,in-progress,,https://wwcec.com,Wayne-White Counties Electric Cooperative. No SmartHub host found; appears to have own portal at wwcec.com. Adapter needs a live login. Manual PDF upload meanwhile.
iec,Illinois Electric Cooperative (IEC),IL,in-progress,,,Illinois Electric Cooperative. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
rock_energy,Rock Energy Cooperative (IL/WI),IL,in-progress,,https://rockenergy.coop,Rock Energy Cooperative serves southern WI and northern IL. No SmartHub host found; has own portal at rockenergy.coop. Adapter needs a live login. Manual PDF upload meanwhile.
il_batavia,City of Batavia Electric Department,IL,in-progress,,https://bataviaelectric.com,Municipal electric utility. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
il_bushnell,City of Bushnell Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_cairo,City of Cairo Public Utility Company,IL,manual,,,Municipal electric utility (IL). No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_carlyle,City of Carlyle Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_carmi,City of Carmi Light & Water,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_chatsworth,Town of Chatsworth Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_fairfield,City of Fairfield Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_flora,City of Flora Municipal Light & Power,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_genoa,City of Genoa Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_geneva,City of Geneva Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_highland,City of Highland Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_industry,Village of Industry Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_ladd,Village of Ladd Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_marshall,City of Marshall Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_mascoutah,City of Mascoutah Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_mt_carmel,City of Mt. Carmel Municipal Utilities,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_naperville,City of Naperville Electric Utility,IL,in-progress,,https://naperville.il.us,Municipal electric utility. No SmartHub host found; appears to have customer portal. Adapter needs a live login. Manual PDF upload meanwhile.
il_peru,City of Peru Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_princeton,City of Princeton Electric Department,IL,manual,,,Municipal electric utility (IL). No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_rantoul,Village of Rantoul Electric Utility,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_red_bud,City of Red Bud Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_riverton,Village of Riverton Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_rock_falls,City of Rock Falls Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_st_charles,City of St. Charles Electric Utility,IL,in-progress,,https://stcharlesil.gov,Municipal electric utility. No SmartHub host found; appears to have customer portal. Adapter needs a live login. Manual PDF upload meanwhile.
il_sullivan,City of Sullivan Electric Department,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
il_winnetka,Village of Winnetka Electric Utility,IL,manual,,,Municipal electric utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload.
