code,label,state,scrape_status,smarthub_host,portal_url,notes
arkvalley_co,Ark Valley Electric Association,CO,in-progress,,https://arkvalley.smarthub.coop,[host unattributed] Ark Valley Electric (CO). arkvalley.smarthub.coop is held by Arkansas Valley EC (AR). No distinct CO host found (Jun 2026). Manual until verified.
dmea,Delta-Montrose Electric Association,CO,live,dmea.smarthub.coop,https://dmea.smarthub.coop,"NISC SmartHub portal (dmea.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
eea,Empire Electric Association,CO,live,eea.smarthub.coop,https://eea.smarthub.coop,"NISC SmartHub portal (eea.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
gcea,Gunnison County Electric Association,CO,live,gcea.smarthub.coop,https://gcea.smarthub.coop,"NISC SmartHub portal (gcea.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
gvp,Grand Valley Power,CO,live,gvp.smarthub.coop,https://gvp.smarthub.coop,"NISC SmartHub portal (gvp.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
holycross,Holy Cross Energy,CO,live,holycross.smarthub.coop,https://holycross.smarthub.coop,"NISC SmartHub portal (holycross.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
kcelectric,K.C. Electric Association,CO,live,kcelectric.smarthub.coop,https://kcelectric.smarthub.coop,"NISC SmartHub portal (kcelectric.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
lpea,La Plata Electric Association,CO,live,lpea.smarthub.coop,https://lpea.smarthub.coop,"NISC SmartHub portal (lpea.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
mcrea,Morgan County Rural Electric Association,CO,live,mcrea.smarthub.coop,https://mcrea.smarthub.coop,"NISC SmartHub portal (mcrea.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
mvea,Mountain View Electric Association,CO,live,mvea.smarthub.coop,https://mvea.smarthub.coop,"NISC SmartHub portal (mvea.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
nwrec_co,Northwest Rural Electric Cooperative,CO,in-progress,,https://nwrec.smarthub.coop,[host unattributed] Northwest REA (CO). nwrec.smarthub.coop held by North West Rural EC (IA). No distinct CO host found. Manual until verified.
otero,Otero County Electric Cooperative,CO,live,otero.smarthub.coop,https://otero.smarthub.coop,"NISC SmartHub portal (otero.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
pvrea,Poudre Valley Rural Electric Association,CO,live,pvrea.smarthub.coop,https://pvrea.smarthub.coop,"NISC SmartHub portal (pvrea.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
siea,San Isabel Electric Association,CO,live,siea.smarthub.coop,https://siea.smarthub.coop,"NISC SmartHub portal (siea.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
slvrec,San Luis Valley Rural Electric Cooperative,CO,live,slvrec.smarthub.coop,https://slvrec.smarthub.coop,"NISC SmartHub portal (slvrec.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
smpa,San Miguel Power Association,CO,live,smpa.smarthub.coop,https://smpa.smarthub.coop,"NISC SmartHub portal (smpa.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
secpa,Southeast Colorado Power Association,CO,live,secpa.smarthub.coop,https://secpa.smarthub.coop,"NISC SmartHub portal (secpa.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
tristate_co,Tri-State Generation and Transmission Association,CO,in-progress,,https://tristate.smarthub.coop,[host unattributed] Tri-State G&T (CO) is a WHOLESALE generation co-op (no retail meters) + tristate.smarthub.coop held by Tri-State EMC (GA). Not a retail scrape target. Manual.
unitedpower,United Power,CO,live,unitedpower.smarthub.coop,https://unitedpower.smarthub.coop,"NISC SmartHub portal (unitedpower.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
wrea_co,White River Electric Association,CO,in-progress,,https://wrea.smarthub.coop,[host unattributed] White River EA (CO). wrea.smarthub.coop held by Wright-Hennepin (MN). No distinct CO host found. Manual until verified.
ywelectric,Y-W Electric Association,CO,live,ywelectric.smarthub.coop,https://ywelectric.smarthub.coop,"NISC SmartHub portal (ywelectric.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
yvea,Yampa Valley Electric Association,CO,live,yvea.smarthub.coop,https://yvea.smarthub.coop,"NISC SmartHub portal (yvea.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
irea,Intermountain Rural Electric Association,CO,in-progress,,https://irea.coop,"IREA — large CO co-op (~180k members). Has a customer portal (SmartHub-class), NOT confirmed on NISC SmartHub at any probed host. Adapter needs verification. Manual PDF upload meanwhile."
sdcea,Sangre de Cristo Electric Association,CO,in-progress,,https://www.sdcea.coop,"Sangre de Cristo Electric — customer portal on their own .coop domain, NOT confirmed on NISC SmartHub at any probed host. Adapter needs verification. Manual PDF upload meanwhile."
