code,label,state,scrape_status,smarthub_host,portal_url,notes
rocky_mountain_power,Rocky Mountain Power (PacifiCorp),WY,in-progress,,https://rockymountainpower.net,"Dominant IOU in WY (~70% coverage). Investor-owned (Berkshire Hathaway), bespoke customer portal. Adapter needs a live login. Manual upload meanwhile."
black_hills_energy,Black Hills Energy,WY,in-progress,,https://blackhillsenergy.com,"Black Hills Energy (Cheyenne area + other regions). Investor-owned, bespoke portal. Adapter needs a live login. Manual upload meanwhile."
carbonpower,Carbon Power & Light,WY,live,carbonpower.smarthub.coop,https://carbonpower.smarthub.coop,"NISC SmartHub portal (carbonpower.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. Saratoga area. kWh unverified on a real generation meter; verify before trusting reports."
garlandpower,Garland Light & Power Company,WY,live,garlandlightpower.smarthub.coop,https://garlandlightpower.smarthub.coop,"NISC SmartHub portal (garlandlightpower.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. Powell area. kWh unverified on a real generation meter; verify before trusting reports."
highplainspower,High Plains Power,WY,live,highplainspower.smarthub.coop,https://highplainspower.smarthub.coop,"NISC SmartHub portal (highplainspower.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. Glenrock area. kWh unverified on a real generation meter; verify before trusting reports."
highwestenergy,High West Energy,WY,live,highwestenergy.smarthub.coop,https://highwestenergy.smarthub.coop,"NISC SmartHub portal (highwestenergy.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. Pine Bluffs area. kWh unverified on a real generation meter; verify before trusting reports."
lvenergy,Lower Valley Energy,WY,live,lvenergy.smarthub.coop,https://lvenergy.smarthub.coop,"NISC SmartHub portal (lvenergy.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. Jackson/Teton County area. kWh unverified on a real generation meter; verify before trusting reports."
wheatland_wy,Wheatland Rural Electric Association,WY,in-progress,,,Wheatland area. No unique SmartHub host found — wrea.smarthub.coop belongs to Wright-Hennepin (MN). Manual upload until WY-specific portal confirmed.
hotsprings,Hot Springs County Rural Electric,WY,in-progress,,,Hot Springs County Rural Electric (dba Thermopolis Town & Rural Electric). No SmartHub host found (tried hotspringscounty/thermopolis/hscre/ttre patterns Jun 2026). Manual upload until portal confirmed.
powderriverenergy,Powder River Energy Corporation,WY,in-progress,,,Powder River Energy Corporation. Sundance area. No SmartHub host found (tried powderriverenergy/powderriver/prec/pre patterns Jun 2026). Manual upload until portal confirmed.
tricounty,Tri-County Electric Association,WY,in-progress,,,Tri-County Electric Association. Fort Laramie area. No SmartHub host found (tried tricounty/tricountyelectric/tcea patterns Jun 2026). Manual upload until portal confirmed.
wyrulec,Wyrulec Company,WY,in-progress,,,Wyrulec Company. Torrington/Wheatland area. No SmartHub host found (tried wyrulec/wyrulek patterns Jun 2026). Manual upload until portal confirmed.
gillette,City of Gillette (Municipal Utility),WY,in-progress,,,City of Gillette municipal electric utility. No SmartHub host or public customer portal found (Jun 2026). Manual upload until confirmed.
