code,label,state,scrape_status,smarthub_host,portal_url,notes
mt_northwestern,NorthWestern Energy,MT,in-progress,,https://myaccount.northwesternenergy.com/,"Dominant IOU serving ~60% of Montana's electric load (~375,000 customers statewide). Same utility as SD entry. Bespoke customer portal — adapter needs live login. Manual PDF upload meanwhile."
mt_mdu,Montana-Dakota Utilities,MT,in-progress,,https://www.montana-dakota.com/,"Investor-owned utility serving eastern Montana (Miles City, Glendive, Sidney, Wolf Point). ~144,000 customers across MT/ND/SD/WY. Same utility as SD/ND/WY entries. Bespoke portal — adapter needs live login. Manual PDF upload meanwhile."
beartooth,Beartooth Electric Cooperative,MT,live,beartoothelectric.smarthub.coop,https://beartoothelectric.smarthub.coop,"NISC SmartHub portal (beartoothelectric.smarthub.coop, confirmed Jun 2026). Serves Carbon, Stillwater, Sweetgrass counties (MT) and Park County (WY); based in Red Lodge. kWh unverified on a real generation meter; verify before trusting reports."
bigflat,Big Flat Electric Cooperative,MT,live,bigflatelectric.smarthub.coop,https://bigflatelectric.smarthub.coop,"NISC SmartHub portal (bigflatelectric.smarthub.coop, confirmed Jun 2026). Serves Blaine, Phillips, Valley counties; based in Malta. kWh unverified on a real generation meter; verify before trusting reports."
bighorncounty,Big Horn County Electric Cooperative,MT,live,bighorncounty.smarthub.coop,https://bighorncounty.smarthub.coop,"NISC SmartHub portal (bighorncounty.smarthub.coop, confirmed Jun 2026). Serves Big Horn County (MT) and portion of Sheridan County (WY); based in Hardin. kWh unverified on a real generation meter; verify before trusting reports."
fallriver,Fall River Rural Electric Cooperative,MT,live,fallriverelectric.smarthub.coop,https://fallriverelectric.smarthub.coop,"NISC SmartHub portal (fallriverelectric.smarthub.coop, confirmed Jun 2026). Serves portions of Gallatin County (MT) plus Idaho and Wyoming; serves West Yellowstone area. kWh unverified on a real generation meter; verify before trusting reports."
fergus,Fergus Electric Cooperative,MT,live,ferguselectric.smarthub.coop,https://ferguselectric.smarthub.coop,"NISC SmartHub portal (ferguselectric.smarthub.coop, confirmed Jun 2026). Serves 14 central Montana counties; headquartered in Lewistown with satellite in Roundup. kWh unverified on a real generation meter; verify before trusting reports."
flathead,Flathead Electric Cooperative,MT,live,flatheadelectric.smarthub.coop,https://flatheadelectric.smarthub.coop,"NISC SmartHub portal (flatheadelectric.smarthub.coop, confirmed Jun 2026). Large co-op serving ~54,900 members in Flathead Valley (Kalispell, Whitefish, Bigfork, Columbia Falls, Libby). kWh unverified on a real generation meter; verify before trusting reports."
glacier,Glacier Electric Cooperative,MT,live,glacierelectric.smarthub.coop,https://glacierelectric.smarthub.coop,"NISC SmartHub portal (glacierelectric.smarthub.coop, confirmed Jun 2026). Serves Flathead, Glacier, Pondera, Toole counties and parts of Alberta, Canada; headquartered in Cut Bank. kWh unverified on a real generation meter; verify before trusting reports."
goldenwest,Goldenwest Electric Cooperative,MT,live,goldenwest.smarthub.coop,https://goldenwest.smarthub.coop,"NISC SmartHub portal (goldenwest.smarthub.coop, confirmed Jun 2026). Serves parts of Dawson, Fallon, Wibaux counties (MT) and Billings, Golden Valley, Slope counties (ND); based in Wibaux. kWh unverified on a real generation meter; verify before trusting reports."
