code,label,state,scrape_status,smarthub_host,portal_url,notes
duke_energy,Duke Energy (NC),NC,in-progress,,https://duke-energy.com,"Dominant NC IOU (~80% market share). Bespoke customer portal, not SmartHub. Adapter needs live login. Manual upload meanwhile."
blue_ridge_emc,Blue Ridge Electric Membership Corporation,NC,in-progress,,https://www.blueridgeenergy.com,"Blue Ridge Energy (Lenoir NC). MIS-PAIRED host bremc.smarthub.coop removed Jul 2026 — siteName brands 'Boone Power' = Boone REMC (IN), whose own site boonepower.com links it. blueridgeenergy.com shows no SmartHub (bespoke portal). Manual PDF upload until adapter."
brunswick_emc,Brunswick Electric Membership Corporation,NC,live,bemc.smarthub.coop,https://bemc.smarthub.coop,NISC SmartHub portal (bemc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter; verify before trusting reports.
cape_hatteras_emc,Cape Hatteras Electric Cooperative,NC,in-progress,,,NC co-op. No SmartHub host found (Jun 2026). Check for bespoke portal or manual upload.
carteret_craven_emc,Carteret-Craven Electric Cooperative,NC,in-progress,,,NC co-op. No SmartHub host found (Jun 2026). Check for bespoke portal or manual upload.
central_emc,Central Electric Membership Corporation,NC,in-progress,,,NISC SmartHub portal (cemc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter; verify before trusting reports. MIS-PAIRED host cemc.smarthub.coop removed Jul 2026 — siteName says it belongs to 'Cumberland Electric Membership Corporation (CEMC) & Cumberland Connect' (cemc).
energy_united,EnergyUnited,NC,live,energyunited.smarthub.coop,https://energyunited.smarthub.coop,NISC SmartHub portal (energyunited.smarthub.coop verified Jun 2026) — large NC co-op formed from merger of Crescent/Davidson/Yadkin Valley. Extension scrapes billing + usage. kWh unverified on real generation meter; verify before trusting reports.
edgecombe_martin_emc,Edgecombe-Martin County EMC,NC,in-progress,,,NC co-op. No SmartHub host found (Jun 2026). Check for bespoke portal or manual upload.
four_county_emc,Four County EMC,NC,in-progress,,,"NISC SmartHub portal (fcremc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter; verify before trusting reports. MIS-PAIRED host fcremc.smarthub.coop removed Jul 2026 — siteName proves it serves 'Fulton County REMC' (fulton), a different utility; demoted to manual until this row's real host is found."
french_broad_emc,French Broad Electric Membership Corporation,NC,in-progress,,,NC co-op. No SmartHub host found (Jun 2026). Check for bespoke portal or manual upload.
halifax_emc,Halifax Electric Membership Corporation,NC,live,hemc.smarthub.coop,https://hemc.smarthub.coop,NISC SmartHub portal (hemc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on real generation meter; verify before trusting reports.
