code,label,state,scrape_status,smarthub_host,portal_url,notes
ameren_mo,Ameren Missouri,MO,in-progress,,https://www.ameren.com/missouri,"Investor-owned utility serving 1.2M+ electric customers in central/eastern Missouri (64 counties, greater St. Louis area). Ameren MyAccount portal — bespoke, adapter needs live login. Manual upload meanwhile."
evergy_metro,Evergy Missouri Metro,MO,in-progress,,https://www.evergy.com,"Investor-owned utility serving Kansas City metro area, portions of northwestern Missouri (Jackson, Platte, Clay counties). Evergy customer portal — bespoke, adapter needs live login. Manual upload meanwhile."
evergy_west,Evergy Missouri West,MO,in-progress,,https://www.evergy.com,"Investor-owned utility serving northwestern Missouri (formerly KCP&L Greater Missouri Operations), part of Evergy's 47-county service territory. Evergy customer portal — bespoke, adapter needs live login. Manual upload meanwhile."
empire_liberty,The Empire District Electric Company (Liberty Utilities),MO,in-progress,,https://www.libertyutilities.com,"Investor-owned utility serving southwest Missouri (16 counties, headquartered in Joplin), 155K+ electric customers. Liberty customer portal — bespoke, adapter needs live login. Manual upload meanwhile."
mo_ahec,Atchison-Holt Electric Cooperative,MO,live,ahec.smarthub.coop,https://ahec.smarthub.coop,NISC SmartHub portal (ahec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
mo_barton_co,Barton County Electric Cooperative,MO,in-progress,,https://www.bartonelectric.com,Electric cooperative serving rural Barton County. bartonelectric.smarthub.coop is used by Vermont's Barton Village; no distinct SmartHub host found for Missouri's Barton County (Jun 2026). Manual upload until portal confirmed.
mo_brec,Black River Electric Cooperative,MO,live,brec.smarthub.coop,https://brec.smarthub.coop,NISC SmartHub portal (brec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
mo_boone,Boone Electric Cooperative,MO,live,booneelectric.smarthub.coop,https://booneelectric.smarthub.coop,"NISC SmartHub portal (booneelectric.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. Serves Boone County, portions of Randolph, Audrain, Callaway, Howard, Monroe counties, 28K+ members. kWh unverified on a real generation meter; verify before trusting reports."
mo_callaway,Callaway Electric Cooperative,MO,live,callawayelectric.smarthub.coop,https://callawayelectric.smarthub.coop,"NISC SmartHub portal (callawayelectric.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. Serves rural Callaway and southern Montgomery counties, 13K+ meters. kWh unverified on a real generation meter; verify before trusting reports."
mo_citizens,Citizens Electric Corporation,MO,live,citizenselectric.smarthub.coop,https://citizenselectric.smarthub.coop,"NISC SmartHub portal (citizenselectric.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. Serves Ste. Genevieve, Perry, St. Francois, Jefferson, Bollinger counties, 27K+ members. kWh unverified on a real generation meter; verify before trusting reports."
mo_cmec,Central Missouri Electric Cooperative,MO,live,cmecinc.smarthub.coop,https://cmecinc.smarthub.coop,NISC SmartHub portal (cmecinc.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. Headquartered in Sedalia. kWh unverified on a real generation meter; verify before trusting reports.
mo_como,Co-Mo Electric Cooperative,MO,live,como.smarthub.coop,https://como.smarthub.coop,"NISC SmartHub portal (como.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. Serves 11 counties in central Missouri (Boone, Camden, Cole, Cooper, Henry, Johnson, Maries, Moniteau, Morgan, Pettis, Saline), ~2,500 sq mi. kWh unverified on a real generation meter; verify before trusting reports."
mo_consolidated,Consolidated Electric Cooperative,MO,in-progress,,https://www.consolidatedelectric.com,Electric cooperative serving northeast Missouri. Headquartered in Mexico. consolidatedelectric.smarthub.coop is used by Ohio's Consolidated Cooperative; no distinct SmartHub host found for Missouri's Consolidated (Jun 2026). Manual upload until portal confirmed.
mo_crawford,Crawford Electric Cooperative,MO,live,crawfordelec.smarthub.coop,https://crawfordelec.smarthub.coop,"NISC SmartHub portal (crawfordelec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. Serves parts of Crawford, Franklin, Washington, Gasconade, Jefferson, Dent counties, 30K+ Missourians through ~21,500 meters. kWh unverified on a real generation meter; verify before trusting reports."
mo_farmers,Farmers' Electric Cooperative,MO,in-progress,,https://www.fec-co.com,"Electric cooperative serving 9 northwest Missouri counties, 12,800+ connections. Headquartered in Chillicothe. farmers.smarthub.coop and farmerselectric.smarthub.coop are used by other utilities; no distinct SmartHub host found (Jun 2026). Manual upload until portal confirmed."
mo_gascosage,Gascosage Electric Cooperative,MO,live,gascosage.smarthub.coop,https://gascosage.smarthub.coop,"NISC SmartHub portal (gascosage.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. Headquartered in Dixon, serves Camden, Maries, Miller, Phelps, Pulaski counties. kWh unverified on a real generation meter; verify before trusting reports."
mo_hoec,Howell-Oregon Electric Cooperative,MO,live,hoec.smarthub.coop,https://hoec.smarthub.coop,"NISC SmartHub portal (hoec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. Headquartered in West Plains, serves Douglas, Ozark, Texas, Shannon, Howell, Oregon counties, 25K+ homes and businesses. kWh unverified on a real generation meter; verify before trusting reports."
mo_howard,Howard Electric Cooperative,MO,live,howardelectric.smarthub.coop,https://howardelectric.smarthub.coop,"NISC SmartHub portal (howardelectric.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. Headquartered in Fayette, serves Howard County, southern Randolph County, portions of Chariton and Boone counties. kWh unverified on a real generation meter; verify before trusting reports."
mo_ieca,Intercounty Electric Cooperative,MO,live,ieca.smarthub.coop,https://ieca.smarthub.coop,NISC SmartHub portal (ieca.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. Headquartered in Licking serving south-central Missouri. kWh unverified on a real generation meter; verify before trusting reports.
mo_laclede,Laclede Electric Cooperative,MO,live,lacledeelectric.smarthub.coop,https://lacledeelectric.smarthub.coop,"NISC SmartHub portal (lacledeelectric.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. Headquartered in Lebanon, serves Camden, Dallas, Laclede, Pulaski, Webster, Wright counties, 37K+ locations. kWh unverified on a real generation meter; verify before trusting reports."
mo_lewis_county,Lewis County Rural Electric Cooperative,MO,live,lewiscountyrec.smarthub.coop,https://lewiscountyrec.smarthub.coop,"NISC SmartHub portal (lewiscountyrec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. Headquartered in Lewistown, serves parts of Lewis, Clark, Knox, Adair, Shelby, Scotland, Marion counties, ~7,350 meters. kWh unverified on a real generation meter; verify before trusting reports."
