code,label,state,scrape_status,smarthub_host,portal_url,notes
aiken,Aiken Electric Cooperative,SC,in-progress,,,"NISC SmartHub portal (aec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports. MIS-PAIRED host aec.smarthub.coop removed Jul 2026 — siteName proved it serves 'Appalachian Electric Cooperative', a different utility; demoted to manual until the real host is found."
broad_river,Broad River Electric Cooperative,SC,live,broadriverelectric.smarthub.coop,https://broadriverelectric.smarthub.coop,NISC SmartHub portal (broadriverelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
central_sc,Central Electric Power Cooperative,SC,live,cec.smarthub.coop,https://cec.smarthub.coop,NISC SmartHub portal (cec.smarthub.coop verified Jun 2026; resolves to same IP as central.smarthub.coop which is claimed by PA's Central Electric Cooperative) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
coastal_sc,Coastal Electric Cooperative,SC,in-progress,,https://www.coastal.coop,"Coastal Electric Cooperative (SC). NOTE: 'coastalelectric.smarthub.coop' belongs to Coastal EMC in GA, not this co-op. No SC-specific SmartHub host confirmed (Jun 2026); needs verification. Manual upload until confirmed."
lynches_river,Lynches River Electric Cooperative,SC,live,lynchesriver.smarthub.coop,https://lynchesriver.smarthub.coop,NISC SmartHub portal (lynchesriver.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
palmetto,Palmetto Electric Cooperative,SC,in-progress,,,NISC SmartHub portal (pec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports. MIS-PAIRED host pec.smarthub.coop removed Jul 2026 — siteName says it belongs to 'Pedernales Electric Cooperative' (pec).
pee_dee,Pee Dee Electric Cooperative,SC,live,peedeeelectric.smarthub.coop,https://peedeeelectric.smarthub.coop,NISC SmartHub portal (peedeeelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
santee,Santee Electric Cooperative,SC,live,santee.smarthub.coop,https://santee.smarthub.coop,NISC SmartHub portal (sec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
tri_county,Tri-County Electric Cooperative,SC,live,tricountycoop.smarthub.coop,https://tricountycoop.smarthub.coop,NISC SmartHub portal (tricountycoop.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
berkeley,Berkeley Electric Cooperative,SC,live,becsc.smarthub.coop,https://becsc.smarthub.coop,Electric cooperative. No SmartHub host found (probed berkeley/berkeleyec/berkeleyemc/berkeleyelectric Jun 2026). Manual PDF upload until a portal is confirmed. SmartHub host harvested from the co-op's own website + siteName-verified ('Berkeley Electric Cooperative') Jul 2026.
