code,label,state,scrape_status,smarthub_host,portal_url,notes
lge_ku,Louisville Gas & Electric / Kentucky Utilities (LG&E/KU),KY,in-progress,,https://lge-ku.com,"LG&E/KU (PPL Corporation) — largest electric utility in KY, serving Louisville metro + central/eastern KY. Bespoke portal, adapter needs live login. Manual upload meanwhile."
duke_ky,Duke Energy Kentucky,KY,in-progress,,https://www.duke-energy.com/home,"Duke Energy Kentucky — northern KY (Covington, Newport, etc.). Bespoke Duke portal, adapter needs live login. Manual upload meanwhile."
jackson_energy,Jackson Energy Cooperative,KY,live,jacksonenergy.smarthub.coop,https://jacksonenergy.smarthub.coop,NISC SmartHub portal (jacksonenergy.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
shelby_energy,Shelby Energy Cooperative,KY,live,shelbyenergy.smarthub.coop,https://shelbyenergy.smarthub.coop,NISC SmartHub portal (shelbyenergy.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
taylor_electric,Taylor County RECC,KY,live,taylorelectric.smarthub.coop,https://taylorelectric.smarthub.coop,NISC SmartHub portal (taylorelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
cumberland_valley,Cumberland Valley Electric,KY,live,cumberlandvalley.smarthub.coop,https://cumberlandvalley.smarthub.coop,NISC SmartHub portal (cumberlandvalley.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
farmers_recc,Farmers RECC,KY,live,farmerselectric.smarthub.coop,https://farmerselectric.smarthub.coop,NISC SmartHub portal (farmerselectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
nolin_recc,Nolin RECC,KY,live,nolinrecc.smarthub.coop,https://nolinrecc.smarthub.coop,NISC SmartHub portal (nolinrecc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
inter_county,Inter-County Energy Cooperative,KY,live,intercountyenergy.smarthub.coop,https://intercountyenergy.smarthub.coop,NISC SmartHub portal (intercountyenergy.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
fleming_mason,Fleming-Mason Energy Cooperative,KY,in-progress,,,NISC SmartHub portal (fmec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports. MIS-PAIRED host fmec.smarthub.coop removed Jul 2026 — siteName says it belongs to 'Freeborn Mower Electric Cooperative' (freeborn_mower).
south_kentucky,South Kentucky RECC,KY,live,skrecc.smarthub.coop,https://skrecc.smarthub.coop,NISC SmartHub portal (skrecc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
warren_recc,Warren RECC,KY,live,wrecc.smarthub.coop,https://wrecc.smarthub.coop,NISC SmartHub portal (wrecc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
henderson_municipal,Henderson Municipal Power & Light,KY,in-progress,,https://hemc.smarthub.coop,"[host corrected] Henderson Municipal Power & Light (HMP&L). The 'hemc.smarthub.coop' host belongs to Halifax EMC (NC), not HMP&L. No HMP&L SmartHub host confirmed (Jun 2026). Manual upload until verified."
licking_valley,Licking Valley RECC,KY,live,lvrecc.smarthub.coop,https://lvrecc.smarthub.coop,NISC SmartHub portal (lvrecc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
magoffin_valley,Magoffin Valley Electric Cooperative,KY,live,mvec.smarthub.coop,https://mvec.smarthub.coop,NISC SmartHub portal (mvec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
bowling_green,Bowling Green Municipal Utilities,KY,live,bgmu.smarthub.coop,https://bgmu.smarthub.coop,NISC SmartHub portal (bgmu.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
tri_county_ky,Tri-County Electric Membership Corporation (KY),KY,live,tcrecc.smarthub.coop,https://tcrecc.smarthub.coop,NISC SmartHub portal (tcrecc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
big_rivers,Big Rivers Electric Corporation,KY,in-progress,,,Big Rivers Electric Corporation — G&T cooperative or RECC. brec.smarthub.coop resolves (302) but identity not confirmed; could be Big Rivers or Barren River. Manual upload until verified.
kenergy,Kenergy Corp.,KY,live,kenergycorp.smarthub.coop,https://kenergycorp.smarthub.coop,NISC SmartHub portal (kenergycorp.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
clark_energy,Clark Energy Cooperative,KY,live,clarkenergy.smarthub.coop,https://clarkenergy.smarthub.coop,NISC SmartHub portal (clarkenergy.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
bluegrass_energy,Bluegrass Energy Cooperative,KY,in-progress,,,Bluegrass Energy — major KY cooperative. No SmartHub host resolved (tested multiple patterns Jun 2026). May have bespoke portal or alternate system. Manual upload meanwhile.
owen_electric,Owen Electric Cooperative,KY,in-progress,,,Owen Electric Cooperative — KY cooperative. No SmartHub host resolved (tested multiple patterns Jun 2026). Manual upload meanwhile.
salt_river,Salt River Electric Cooperative,KY,in-progress,,,Salt River Electric Cooperative — KY cooperative. No SmartHub host resolved (tested multiple patterns Jun 2026). Manual upload meanwhile.
grayson_recc,Grayson RECC,KY,in-progress,,,Grayson RECC — KY cooperative. No SmartHub host resolved (tested multiple patterns Jun 2026). Manual upload meanwhile.
meade_county,Meade County RECC,KY,in-progress,,,Meade County RECC — KY cooperative. No SmartHub host resolved (tested multiple patterns Jun 2026). Manual upload meanwhile.
pennyrile,Pennyrile Electric,KY,in-progress,,,Pennyrile Electric — KY cooperative. No SmartHub host resolved (tested multiple patterns Jun 2026). Manual upload meanwhile.
south_central_ky,South Central Kentucky RECC,KY,in-progress,,,South Central Kentucky RECC — cooperative. No SmartHub host resolved (tested multiple patterns Jun 2026). Manual upload meanwhile.
east_kentucky,East Kentucky Power Cooperative,KY,in-progress,,https://ekpc.coop,"East Kentucky Power Cooperative (EKPC) — generation & transmission cooperative, not a retail distributor. Member co-ops include many KY RECCs. No SmartHub host. If net-metering customer is on EKPC transmission, identify the local RECC for billing."
green_river,Green River Electric Corporation,KY,in-progress,,,Green River Electric Corporation — KY cooperative. No SmartHub host resolved (tested multiple patterns Jun 2026). Manual upload meanwhile.
barren_river,Barren River Electric Cooperative,KY,in-progress,,,Barren River Electric Cooperative — KY cooperative. No SmartHub host resolved (tested multiple patterns Jun 2026). Manual upload meanwhile.
mountain_association,Mountain Association for Community Economic Development / MACED,KY,in-progress,,,"Mountain Association (MACED) — community development org, may operate or support rural electric services. No SmartHub host found. Manual upload meanwhile."
lyntagar,Lyntagar Electric Cooperative,KY,in-progress,,,Lyntagar Electric Cooperative — KY cooperative. No SmartHub host resolved (tested multiple patterns Jun 2026). Manual upload meanwhile.
owensboro,Owensboro Municipal Utilities,KY,in-progress,,https://omu.com,"Owensboro Municipal Utilities (OMU) — Owensboro city municipal. Bespoke portal (omu.com), no SmartHub. Adapter needs live login. Manual upload meanwhile."
frankfort_plant_board,Frankfort Plant Board,KY,in-progress,,https://fewpb.com,"Frankfort Plant Board (Frankfort Electric & Water Plant Board) — Frankfort municipal utility. Bespoke portal, no SmartHub. Manual upload meanwhile."
princeton_electric,Princeton Electric Plant Board,KY,in-progress,,,"Princeton Electric Plant Board — Princeton municipal. No SmartHub found, limited online presence (Jun 2026). Manual upload meanwhile."
paducah_power,Paducah Power System,KY,in-progress,,https://paducahpower.com,"Paducah Power System — Paducah municipal utility. Bespoke portal (paducahpower.com), no SmartHub. Manual upload meanwhile."
murray_electric,Murray Electric System,KY,in-progress,,https://www.murrayky.gov/departments/murray-electric-system,"Murray Electric System (MES) — Murray municipal. Portal via city site, no SmartHub. Manual upload meanwhile."
mayfield_electric,Mayfield Electric & Water Systems,KY,in-progress,,,"Mayfield Electric & Water Systems — Mayfield municipal. No SmartHub found, limited online portal (Jun 2026). Manual upload meanwhile."
barbourville_utilities,Barbourville Utilities Commission,KY,in-progress,,,Barbourville Utilities Commission — Barbourville municipal. No SmartHub found (Jun 2026). Manual upload meanwhile.
corbin_utilities,Corbin Utilities Commission,KY,in-progress,,,Corbin Utilities Commission — Corbin municipal. No SmartHub found (Jun 2026). Manual upload meanwhile.
russellville_electric,Russellville Electric Plant Board,KY,in-progress,,,Russellville Electric Plant Board — Russellville municipal. No SmartHub found (Jun 2026). Manual upload meanwhile.
