code,label,state,scrape_status,smarthub_host,portal_url,notes
cvea,Copper Valley Electric Association,AK,live,cvea.smarthub.coop,https://cvea.smarthub.coop,NISC SmartHub portal (cvea.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
gvea,Golden Valley Electric Association,AK,live,gvea.smarthub.coop,https://gvea.smarthub.coop,NISC SmartHub portal (gvea.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
ipec,Inside Passage Electric Cooperative,AK,live,insidepassageelectric.smarthub.coop,https://insidepassageelectric.smarthub.coop,NISC SmartHub portal (insidepassageelectric.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
kea,Kodiak Electric Association,AK,live,kodiakelectric.smarthub.coop,https://kodiakelectric.smarthub.coop,NISC SmartHub portal (kodiakelectric.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
mea,Matanuska Electric Association,AK,live,mea.smarthub.coop,https://mea.smarthub.coop,NISC SmarthHub portal (mea.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
netc,Nushagak Electric & Telephone Cooperative,AK,live,nushagakelectric.smarthub.coop,https://nushagakelectric.smarthub.coop,NISC SmartHub portal (nushagakelectric.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
cea,Chugach Electric Association,AK,in-progress,,https://chugachelectric.com,"Largest electric utility in AK (~95k members). Own customer portal (MyAccount), NOT on NISC SmartHub. Adapter needs a live login to reverse-engineer. Manual PDF upload accepted meanwhile."
hea,Homer Electric Association,AK,in-progress,,https://homerelectric.com,"Co-op serving Kenai Peninsula (~30k members). Own customer portal (SmartHub Energy), NOT on NISC SmartHub despite similar name. Adapter needs a live login. Manual PDF upload meanwhile."
aelp,Alaska Electric Light and Power (AEL&P),AK,in-progress,,https://aelp.com,"Investor-owned utility serving Juneau (owned by Avista). Bespoke customer portal, NOT on NISC SmartHub. Adapter needs a live login. Manual PDF upload meanwhile."
cordova,Cordova Electric Cooperative,AK,in-progress,,https://cordovaelectric.com,"Co-op serving Cordova. No SmartHub host found (Jun 2026), may have bespoke portal. Manual PDF upload until portal confirmed."
kpu,Ketchikan Public Utilities,AK,in-progress,,https://kpu.org,"Municipal utility serving Ketchikan. Own customer portal, NOT on NISC SmartHub. Adapter needs a live login. Manual PDF upload meanwhile."
ak_barrow,Barrow Utilities and Electric Cooperative (BUEC),AK,in-progress,,,"Serves Utqiagvik (formerly Barrow), northernmost city in US. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed."
ak_bethel,Bethel Utilities Corporation,AK,in-progress,,,Municipal utility serving Bethel. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
ak_dillingham,Dillingham City Electric,AK,in-progress,,,Municipal utility serving Dillingham. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
ak_fairbanks,Fairbanks Municipal Utility System (FMUS),AK,in-progress,,https://fairbanksmuni.com,Municipal utility serving Fairbanks (interior AK). Separate from GVEA. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
ak_haines,Haines Borough Electric,AK,in-progress,,,Municipal utility serving Haines. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
ak_nome,Nome Joint Utility System (NJUS),AK,in-progress,,,Municipal utility serving Nome. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
ak_petersburg,Petersburg Municipal Power & Light,AK,in-progress,,,Municipal utility serving Petersburg. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
ak_sitka,Sitka Electric Department,AK,in-progress,,https://cityofsitka.com,Municipal utility serving Sitka. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
ak_unalaska,Unalaska Electric Utility,AK,in-progress,,,Municipal utility serving Unalaska/Dutch Harbor. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
ak_valdez,Valdez Electric,AK,in-progress,,,Municipal utility serving Valdez. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
ak_wrangell,Wrangell Municipal Light and Power,AK,in-progress,,,Municipal utility serving Wrangell. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
