code,label,state,scrape_status,smarthub_host,portal_url,notes
avista_wa,Avista Utilities,WA,in-progress,,https://www.myavista.com,"Investor-owned utility serving eastern WA and northern ID. MyAvista portal — bespoke, adapter needs a live login. Manual upload meanwhile."
pse,Puget Sound Energy (PSE),WA,in-progress,,https://www.pse.com,"Investor-owned utility serving Puget Sound region. PSE customer portal — bespoke, adapter needs a live login. Manual upload meanwhile."
seattle_city_light,Seattle City Light,WA,in-progress,,https://www.seattle.gov/city-light,"Municipal utility serving Seattle. City Light customer portal — bespoke, adapter needs a live login. Manual upload meanwhile."
tacoma_power,Tacoma Public Utilities (Tacoma Power),WA,in-progress,,https://www.mytpu.org,"Municipal utility serving Tacoma. MyTPU portal — bespoke, adapter needs a live login. Manual upload meanwhile."
snohomish_pud,Snohomish County PUD,WA,in-progress,,https://www.snopud.com,"Large public utility district serving Snohomish County. SnoPUD portal — bespoke, adapter needs a live login. Manual upload meanwhile."
benton_pud,Benton County PUD,WA,live,bentonpud.smarthub.coop,https://bentonpud.smarthub.coop,NISC SmartHub portal (bentonpud.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
inland_power,Inland Power & Light,WA,live,inlandpower.smarthub.coop,https://inlandpower.smarthub.coop,NISC SmartHub portal (inlandpower.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
tanner_electric,Tanner Electric Cooperative,WA,live,tannerelectric.smarthub.coop,https://tannerelectric.smarthub.coop,NISC SmartHub portal (tannerelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
columbia_rea,Columbia Rural Electric Association,WA,live,columbiarea.smarthub.coop,https://columbiarea.smarthub.coop,NISC SmartHub portal (columbiarea.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
nw_electric,Northwest Electric Cooperative,WA,live,nwelectric.smarthub.coop,https://nwelectric.smarthub.coop,NISC SmartHub portal (nwelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
lakeview_light,Lakeview Light & Power,WA,live,lakeviewlight.smarthub.coop,https://lakeviewlight.smarthub.coop,NISC SmartHub portal (lakeviewlight.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
okanogan_pud,Okanogan County PUD,WA,live,okanoganpud.smarthub.coop,https://okanoganpud.smarthub.coop,NISC SmartHub portal (okanoganpud.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
klickitat_pud,Klickitat PUD,WA,live,klickitatpud.smarthub.coop,https://klickitatpud.smarthub.coop,NISC SmartHub portal (klickitatpud.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
douglas_pud,Douglas County PUD,WA,live,douglaspud.smarthub.coop,https://douglaspud.smarthub.coop,NISC SmartHub portal (douglaspud.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
