code,label,state,scrape_status,smarthub_host,portal_url,notes
alabama_power,Alabama Power,AL,in-progress,,https://alabamapower.com,"Alabama Power (Southern Company subsidiary) — largest AL utility, ~1.5M customers statewide. Bespoke portal, adapter needs a live login. Manual PDF upload meanwhile."
baldwinemc,Baldwin EMC,AL,live,baldwinemc.smarthub.coop,https://baldwinemc.smarthub.coop,"NISC SmartHub portal (baldwinemc.smarthub.coop verified, unique to this co-op) — Baldwin County, AL (Bay Minette). Extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
coastal_al,Coastal Electric Cooperative (AL),AL,live,coastal.smarthub.coop,https://coastal.smarthub.coop,"NISC SmartHub portal (coastal.smarthub.coop verified) — Andalusia, AL area. Extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
maelectric,Middle Alabama Electric Cooperative,AL,live,maelectric.smarthub.coop,https://maelectric.smarthub.coop,"NISC SmartHub portal (maelectric.smarthub.coop verified, unique to this co-op) — Calera, AL. Extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
tombigbee,Tombigbee Electric Cooperative,AL,live,tombigbee.smarthub.coop,https://tombigbee.smarthub.coop,"NISC SmartHub portal (tombigbee.smarthub.coop verified, unique to this co-op) — Hamilton, AL area. Extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
tvec_al,Tennessee Valley Electric Cooperative (AL),AL,in-progress,,https://www.tvec.com,"Tennessee Valley Electric Cooperative (Savannah TN, serves AL area). MIS-PAIRED host tvec.smarthub.coop removed Jul 2026 — siteName brands 'Trinity Valley Electric Cooperative' (TX), whose own site tvec.net links it. Tennessee Valley EC (tvec.com) shows no SmartHub (bespoke portal). Manual PDF upload until adapter."
clarke_washington,Clarke-Washington EMC,AL,in-progress,,,"NISC SmartHub portal (cmec.smarthub.coop verified, unique to this co-op) — Coffeeville, AL. Extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports. MIS-PAIRED host cmec.smarthub.coop removed Jul 2026 — siteName says it belongs to 'Coles-Moultrie Electric Cooperative' (cmec)."
cullman_ec,Cullman Electric Cooperative,AL,in-progress,,,Cullman Electric Cooperative — Cullman AL area. SmartHub host collision detected (cemc.smarthub.coop claimed by NC). Manual investigation needed. Manual PDF upload meanwhile.
joe_wheeler,Joe Wheeler EMC,AL,in-progress,,,Joe Wheeler Electric Membership Corporation — major north AL co-op (Trinity area). No unique SmartHub host found. Adapter needs investigation. Manual PDF upload meanwhile.
dixie_electric,Dixie Electric Cooperative,AL,in-progress,,,Dixie Electric Cooperative — major AL co-op. No SmartHub host found. Adapter needs investigation. Manual PDF upload meanwhile.
cherokee_electric,Cherokee Electric Cooperative,AL,in-progress,,,Cherokee Electric Cooperative — major AL co-op. No SmartHub host found. Adapter needs investigation. Manual PDF upload meanwhile.
pea_electric,Pea River Electric Cooperative,AL,in-progress,,,Pea River Electric Cooperative — major south AL co-op (Ozark area). No unique SmartHub host found. Adapter needs investigation. Manual PDF upload meanwhile.
pioneer_electric,Pioneer Electric Cooperative,AL,live,pioneerelectriccom.smarthub.coop,https://pioneerelectriccom.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. siteName 'Pioneer Electric Cooperative' + the co-op's own site pioneerelectric.com (Greenville AL) links this host — verified Jul 2026. kWh unverified on a real generation meter; verify before trusting reports.
sand_mountain,Sand Mountain Electric Cooperative,AL,in-progress,,,Sand Mountain Electric Cooperative — major northeast AL co-op (Rainsville area). No unique SmartHub host found. Adapter needs investigation. Manual PDF upload meanwhile.
south_alabama,South Alabama Electric Cooperative,AL,in-progress,,,South Alabama Electric Cooperative — major south AL co-op (Troy area). No unique SmartHub host found. Adapter needs investigation. Manual PDF upload meanwhile.
southeast_alabama,Southeast Alabama Electric Cooperative,AL,in-progress,,,Southeast Alabama Electric Cooperative — major southeast AL co-op. No unique SmartHub host found. Adapter needs investigation. Manual PDF upload meanwhile.
southern_pine_al,Southern Pine Electric Cooperative,AL,in-progress,,,Southern Pine Electric Cooperative — major south AL co-op. No unique SmartHub host found. Adapter needs investigation. Manual PDF upload meanwhile.
black_warrior,Black Warrior EMC,AL,in-progress,,,Black Warrior Electric Membership Corporation — major AL co-op (Tuscaloosa area). No unique SmartHub host found. Adapter needs investigation. Manual PDF upload meanwhile.
covington_al,Covington Electric Cooperative (AL),AL,in-progress,,,Covington Electric Cooperative — major south AL co-op (Andalusia area). No unique SmartHub host found. Adapter needs investigation. Manual PDF upload meanwhile.
central_al,Central Alabama Electric Cooperative,AL,in-progress,,,Central Alabama Electric Cooperative — major central AL co-op (Prattville area). SmartHub host collision detected (central.smarthub.coop claimed by PA). Manual investigation needed. Manual PDF upload meanwhile.
coosa_valley,Coosa Valley Electric Cooperative,AL,in-progress,,,Coosa Valley Electric Cooperative — Sylacauga area. SmartHub host collision detected (cvec.smarthub.coop claimed by VA). Manual investigation needed. Manual PDF upload meanwhile.
alabama_ec,Alabama Electric Cooperative,AL,in-progress,,,Alabama Electric Cooperative — Andalusia area. SmartHub host collision detected (aec.smarthub.coop claimed by SC's Aiken Electric). Manual investigation needed. Manual PDF upload meanwhile.
wiregrass,Wiregrass Electric Cooperative,AL,in-progress,,,Wiregrass Electric Cooperative — Hartford area. SmartHub host collision detected (wemc.smarthub.coop claimed by NC's Wake EMC). Manual investigation needed. Manual PDF upload meanwhile.
