code,label,state,scrape_status,smarthub_host,portal_url,notes
eversource_ma,Eversource Energy (NSTAR Electric — MA),MA,live,,https://www.eversource.com/security/account/login,"Eversource MyAccount (shared CT/MA/NH portal). Cloud Capture via eversource harvester (same module as eversource / eversource_ct). MFA may block password-only harvests."
national_grid_ma,National Grid (Massachusetts Electric Company),MA,in-progress,,https://nationalgridus.com,"National Grid customer portal — bespoke, investor-owned. Adapter needs a live login. Manual upload meanwhile. Serves eastern/central MA (Boston, Worcester, Cape Cod)."
unitil_ma,Unitil Corporation (Fitchburg Gas and Electric — MA),MA,in-progress,,https://unitil.com,"Unitil customer portal — bespoke, adapter needs a live login. Manual upload meanwhile. Serves Fitchburg area (north-central MA). Also serves NH."
belmont,Belmont Municipal Light Department,MA,live,belmontlight.smarthub.coop,https://belmontlight.smarthub.coop,"NISC SmartHub portal (belmontlight.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
concord,Concord Municipal Light Plant,MA,live,concord.smarthub.coop,https://concord.smarthub.coop,"NISC SmartHub portal (concord.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
hull,Hull Municipal Lighting Plant,MA,live,hull.smarthub.coop,https://hull.smarthub.coop,"NISC SmartHub portal (hull.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports."
ashburnham,Ashburnham Municipal Light Plant,MA,in-progress,,https://ashburnhamlight.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
boylston,Boylston Municipal Light Department,MA,in-progress,,https://boylstonlightdept.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Has online portal but non-SmartHub. Adapter needs a live login. Manual PDF upload meanwhile."
braintree,Braintree Electric Light Department,MA,in-progress,,https://braintreeelectric.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
chester,Chester Municipal Light Department,MA,in-progress,,,Municipal utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
chicopee,Chicopee Municipal Lighting Plant,MA,in-progress,,https://chicopeelectric.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Has website but portal status unclear. Manual PDF upload meanwhile."
danvers,Danvers Electric Division,MA,in-progress,,https://danvers-ma.gov/departments/electric,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Has municipal website but unclear if online billing. Manual PDF upload meanwhile."
georgetown,Georgetown Municipal Light Department,MA,in-progress,,https://georgetownlight.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Has website but portal status unclear. Manual PDF upload meanwhile."
groveland,Groveland Electric Light Department,MA,in-progress,,https://geld.org,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Has website but portal status unclear. Manual PDF upload meanwhile."
ma_groton,Groton Electric Light Department,MA,in-progress,,https://grotonelectric.org,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
hingham,Hingham Municipal Lighting Plant,MA,in-progress,,https://hinghamlight.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
holden,Holden Municipal Light Department,MA,in-progress,,https://holdenlightdept.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
holyoke,Holyoke Gas & Electric Department,MA,live,hged.smarthub.coop,https://hged.smarthub.coop,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Has website but portal status unclear. Manual PDF upload meanwhile. SmartHub host auto-discovered + siteName-verified ('Holyoke Gas and Electric') Jul 2026."
hudson,Hudson Light & Power Department,MA,in-progress,,https://hudsonlight.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
ipswich,Ipswich Municipal Light Department,MA,in-progress,,https://ipswichlight.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
littleton,Littleton Electric Light & Water Department,MA,in-progress,,https://littletonelectric.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
mansfield,Mansfield Municipal Electric Department,MA,in-progress,,https://mansfieldelectric.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
marblehead,Marblehead Municipal Light Department,MA,in-progress,,https://marbleheadelectric.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
merrimac,Merrimac Municipal Light Department,MA,in-progress,,https://merrimaclight.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
middleborough,Middleborough Gas & Electric Department,MA,in-progress,,https://mgeld.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
middleton,Middleton Electric Light Department,MA,in-progress,,https://middletonlightdept.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
north_attleborough,North Attleborough Electric Department,MA,in-progress,,https://northattleboroughelectric.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
norwood,Norwood Light Department,MA,in-progress,,https://norwoodlight.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
paxton,Paxton Municipal Light Department,MA,in-progress,,,Municipal utility. No SmartHub host or customer portal found (Jun 2026). Manual PDF upload until a login/portal is confirmed.
peabody,Peabody Municipal Light Plant,MA,in-progress,,https://peabodylight.com,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
princeton,Princeton Municipal Light Department,MA,in-progress,,https://princetonlight.net,"Municipal utility, NOT on NISC SmartHub (probed Jun 2026). Invoice Cloud portal. Adapter needs a live login. Manual PDF upload meanwhile."
