code,label,state,scrape_status,smarthub_host,portal_url,notes
nv_energy,NV Energy,NV,in-progress,,https://www.nvenergy.com/my-account,"Investor-owned utility serving 2.4M customers statewide (85%+ of Nevada). Bespoke MyAccount portal, adapter needs live login. Manual PDF upload meanwhile."
vea,Valley Electric Association,NV,live,vea.smarthub.coop,https://vea.smarthub.coop,"NISC SmartHub portal (vea.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. Serves 45,000+ people in 6,800 sq mi along CA-NV border. kWh unverified on a real generation meter; verify before trusting reports."
harney,Harney Electric Cooperative,NV,live,harneyelectric.smarthub.coop,https://harneyelectric.smarthub.coop,"NISC SmartHub portal (harneyelectric.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. Oregon-based co-op serving Humboldt County NW Nevada. kWh unverified on a real generation meter; verify before trusting reports."
psrec,Plumas-Sierra Rural Electric Cooperative,NV,live,psrec.smarthub.coop,https://psrec.smarthub.coop,"NISC SmartHub portal (psrec.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. Serves rural areas on CA-NV border. kWh unverified on a real generation meter; verify before trusting reports."
lcpd,Lincoln County Power District No. 1,NV,live,lcpd1.smarthub.coop,https://lcpd1.smarthub.coop,"NISC SmartHub portal (lcpd1.smarthub.coop, confirmed Jun 2026) — extension scrapes billing + usage. Serves Lincoln County southern NV and Coyote Springs area in Clark County. kWh unverified on a real generation meter; verify before trusting reports."
nv_wrec,Wells Rural Electric Company,NV,in-progress,,https://www.wrec.coop,"Co-op serving Wells, West Wendover, Carlin area. CRITICAL: actual SmartHub host wrec.smarthub.coop verified (Jun 2026), but FL.csv incorrectly claims it for Withlacoochee (which uses withlacoochee.smarthub.coop). Cannot mark live until FL.csv is fixed. See wrec.coop for customer portal."
nv_mwpower,Mt. Wheeler Power (Nevada service area),NV,in-progress,,https://www.mwpower.net,"Based in Ely NV, serves 4,600+ accounts across NV/UT border (Eureka, rural central NV). NISC SmartHub at mwpower.smarthub.coop but cataloged under UT state (code: mwpower) since host must be unique. NV customers use same portal as UT customers. Manual PDF upload meanwhile."
nv_rrelectric,Raft River Rural Electric Co-op (Nevada service area),NV,in-progress,,https://www.rrelectric.com,"Idaho-based co-op (HQ Malta ID) serving 5,000+ customers across ID/UT/NV. NISC SmartHub at rrelectric.smarthub.coop but cataloged under UT state (code: rrelectric) since host must be unique. NV customers use same portal as UT/ID customers. Manual PDF upload meanwhile."
boulder_city,Boulder City Municipal Utility,NV,in-progress,,https://bouldercitynv.municipalonlinepayments.com/bouldercitynv/utilities,"Municipal utility (water, electric, sewer, garbage combined billing). Bespoke portal at bouldercitynv.municipalonlinepayments.com, adapter needs live login. Manual PDF upload meanwhile."
opd5,Overton Power District No. 5,NV,in-progress,,https://opd5.com,"Public power district serving Moapa Valley and Virgin Valley areas. Website at opd5.com, customer service (702) 346-5710. No SmartHub host found (Jun 2026). Manual PDF upload until portal is confirmed/built."
apd3,Alamo Power District No. 3,NV,in-progress,,https://online.mypcsportal.com/online/aponline/Login/tabid/5548/Default.aspx,"Public power district serving Alamo area. Bespoke portal (mypcsportal.com), adapter needs live login. Manual PDF upload meanwhile."
