code,label,state,scrape_status,smarthub_host,portal_url,notes
evergy_central,Evergy Kansas Central (formerly Westar Energy),KS,in-progress,,https://www.evergy.com,"Major IOU serving Topeka, Wichita, Manhattan, Pittsburg, most of central/eastern Kansas. Evergy MyAccount bespoke portal — adapter needs live login. Manual upload meanwhile."
liberty_empire,Liberty Utilities (Empire District Electric),KS,in-progress,,https://central.libertyutilities.com/all/kansas-electric.html,"IOU serving southeast Kansas (Galena area). Liberty customer portal — bespoke, adapter needs live login. Manual upload meanwhile."
four_rivers,4 Rivers Electric Cooperative,KS,live,4riverselectric.smarthub.coop,https://4riverselectric.smarthub.coop,"NISC SmartHub portal (4riverselectric.smarthub.coop, confirmed Jun 2026). Serves Lebo area. kWh unverified on generation meter; verify before trusting reports."
bluestem,Bluestem Electric Cooperative,KS,live,bluestemelectric.smarthub.coop,https://bluestemelectric.smarthub.coop,"NISC SmartHub portal (bluestemelectric.smarthub.coop, confirmed Jun 2026). Serves Wamego area. kWh unverified on generation meter; verify before trusting reports."
ba_electric,Brown-Atchison Electric Cooperative,KS,live,baelectric.smarthub.coop,https://baelectric.smarthub.coop,"NISC SmartHub portal (baelectric.smarthub.coop, confirmed Jun 2026). Serves Horton area. kWh unverified on generation meter; verify before trusting reports."
ks_butler,Butler Electric Cooperative (KS),KS,in-progress,,https://butler.smarthub.coop,[host corrected] Butler Electric Cooperative (KS). butler.smarthub.coop belongs to Butler Municipal (NJ). No distinct KS host confirmed (Jun 2026). Manual upload until verified.
caney_valley,Caney Valley Electric Cooperative,KS,in-progress,,https://ebill.caneyvalley.com/oscp/,OSCP customer portal (ebill.caneyvalley.com/oscp/) — NOT on NISC SmartHub. Adapter needs live login to reverse-engineer. Manual upload meanwhile.
cms_electric,CMS Electric Cooperative,KS,live,cmselectric.smarthub.coop,https://cmselectric.smarthub.coop,"NISC SmartHub portal (cmselectric.smarthub.coop, confirmed Jun 2026). Serves Meade area. kWh unverified on generation meter; verify before trusting reports."
doniphan,Doniphan Electric Cooperative,KS,live,donrec.smarthub.coop,https://donrec.smarthub.coop,"NISC SmartHub portal (donrec.smarthub.coop, confirmed Jun 2026). Serves Troy area. kWh unverified on generation meter; verify before trusting reports."
dso_electric,DSO Electric Cooperative,KS,live,dsoelectric.smarthub.coop,https://dsoelectric.smarthub.coop,"NISC SmartHub portal (dsoelectric.smarthub.coop, confirmed Jun 2026). Serves Solomon area. kWh unverified on generation meter; verify before trusting reports."
flint_hills,Flint Hills Rural Electric Cooperative,KS,live,flinthillsrec.smarthub.coop,https://flinthillsrec.smarthub.coop,"NISC SmartHub portal (flinthillsrec.smarthub.coop, confirmed Jun 2026). Serves Council Grove area. kWh unverified on generation meter; verify before trusting reports."
freestate,FreeState Electric Cooperative,KS,live,freestate.smarthub.coop,https://freestate.smarthub.coop,"NISC SmartHub portal (freestate.smarthub.coop, confirmed Jun 2026). Serves Topeka area. kWh unverified on generation meter; verify before trusting reports."
heartland,Heartland Rural Electric Cooperative,KS,live,heartlandrec.smarthub.coop,https://heartlandrec.smarthub.coop,"NISC SmartHub portal (heartlandrec.smarthub.coop, confirmed Jun 2026). Serves Girard area. kWh unverified on generation meter; verify before trusting reports."
lane_scott,Lane-Scott Electric Cooperative,KS,live,lanescott.smarthub.coop,https://lanescott.smarthub.coop,"NISC SmartHub portal (lanescott.smarthub.coop, confirmed Jun 2026). Serves Dighton area. kWh unverified on generation meter; verify before trusting reports."
nemaha_marshall,Nemaha-Marshall Electric Cooperative,KS,live,nemahamarshall.smarthub.coop,https://nemahamarshall.smarthub.coop,"NISC SmartHub portal (nemahamarshall.smarthub.coop, confirmed Jun 2026). Serves Axtell area. kWh unverified on generation meter; verify before trusting reports."
ninnescah,Ninnescah Electric Cooperative,KS,live,ninnescah.smarthub.coop,https://ninnescah.smarthub.coop,"NISC SmartHub portal (ninnescah.smarthub.coop, confirmed Jun 2026). Serves Pratt area. kWh unverified on generation meter; verify before trusting reports."
prairie_land,Prairie Land Electric Cooperative,KS,live,prairielandelectric.smarthub.coop,https://prairielandelectric.smarthub.coop,"NISC SmartHub portal (prairielandelectric.smarthub.coop, confirmed Jun 2026). Serves Norton area. kWh unverified on generation meter; verify before trusting reports."
rolling_hills,Rolling Hills Electric Cooperative,KS,live,rollinghills.smarthub.coop,https://rollinghills.smarthub.coop,"NISC SmartHub portal (rollinghills.smarthub.coop, confirmed Jun 2026). Serves Beloit area. kWh unverified on generation meter; verify before trusting reports."
sedgwick_county,Sedgwick County Electric Cooperative,KS,live,sedgwickcountyelectric.smarthub.coop,https://sedgwickcountyelectric.smarthub.coop,"NISC SmartHub portal (sedgwickcountyelectric.smarthub.coop, confirmed Jun 2026). Serves Cheney area. kWh unverified on generation meter; verify before trusting reports."
sumner_cowley,Sumner-Cowley Electric Cooperative,KS,live,sucocoop.smarthub.coop,https://sucocoop.smarthub.coop,"NISC SmartHub portal (sucocoop.smarthub.coop, confirmed Jun 2026). Serves Wellington area. kWh unverified on generation meter; verify before trusting reports."
twin_valley,Twin Valley Electric Cooperative,KS,live,twinvalleyelectric.smarthub.coop,https://twinvalleyelectric.smarthub.coop,"NISC SmartHub portal (twinvalleyelectric.smarthub.coop, confirmed Jun 2026). Serves Altamont area. kWh unverified on generation meter; verify before trusting reports."
victory,Victory Electric Cooperative,KS,live,victoryelectric.smarthub.coop,https://victoryelectric.smarthub.coop,"NISC SmartHub portal (victoryelectric.smarthub.coop, confirmed Jun 2026). Serves Dodge City area. kWh unverified on generation meter; verify before trusting reports."
western_coop,Western Cooperative Electric Association,KS,live,westerncoop.smarthub.coop,https://westerncoop.smarthub.coop,"NISC SmartHub portal (westerncoop.smarthub.coop, confirmed Jun 2026). Serves WaKeeney area. kWh unverified on generation meter; verify before trusting reports."
wheatland,Wheatland Electric Cooperative,KS,live,wheatland.smarthub.coop,https://wheatland.smarthub.coop,"NISC SmartHub portal (wheatland.smarthub.coop, confirmed Jun 2026). Serves Scott City area. kWh unverified on generation meter; verify before trusting reports."
weci,Wheatland Electric Cooperative Inc.,KS,in-progress,,,"NISC SmartHub portal (weci.smarthub.coop, confirmed Jun 2026). Alternate SmartHub host for Wheatland Electric. kWh unverified on generation meter; verify before trusting reports. MIS-PAIRED host weci.smarthub.coop removed Jul 2026 — siteName proved it serves 'Washington Electric Cooperative, Inc.', a different utility; demoted to manual until the real host is found."
ks_midwest,Midwest Energy Inc. (KS),KS,in-progress,,https://www.mwenergy.com,Large co-op serving Hays area. No SmartHub host found (checked multiple patterns Jun 2026). Likely has bespoke portal — adapter needs live login. Manual upload meanwhile.
ks_pioneer,Pioneer Electric Cooperative (KS),KS,in-progress,,https://www.pioneerelectric.coop,Serves Ulysses area. No SmartHub host found (checked multiple patterns Jun 2026). Manual upload until portal confirmed.
kc_bpu,Kansas City Board of Public Utilities (BPU),KS,in-progress,,https://www.bpu.com,"Major municipal utility serving Kansas City, KS. BPU customer portal — bespoke, not SmartHub. Adapter needs live login. Manual upload meanwhile."
