code,label,state,scrape_status,smarthub_host,portal_url,notes
dce,Delaware County Electric Cooperative,NY,live,dce.smarthub.coop,https://dce.smarthub.coop,NISC SmartHub portal (dce.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
srec,Steuben Rural Electric Cooperative,NY,in-progress,,,NISC SmartHub portal (srec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports. MIS-PAIRED host srec.smarthub.coop removed Jul 2026 — siteName says it belongs to 'Salmon River Electric Cooperative' (id_srec).
coned,Consolidated Edison Company of New York (ConEd),NY,in-progress,,https://www.coned.com,"ConEd MyAccount — largest NY IOU, serves NYC and Westchester County. Bespoke portal, adapter needs a live login to reverse-engineer. Manual PDF upload meanwhile."
nationalgrid,National Grid (NY),NY,in-progress,,https://www.nationalgridus.com,"National Grid NY — serves upstate NY (formerly Niagara Mohawk). IOU with bespoke portal, adapter needs a live login. Manual PDF upload meanwhile."
nyseg,New York State Electric & Gas (NYSEG),NY,in-progress,,https://www.nyseg.com,"NYSEG — serves southern tier and Finger Lakes region. Avangrid/Iberdrola IOU with bespoke portal, adapter needs a live login. Manual PDF upload meanwhile."
rge,Rochester Gas & Electric (RG&E),NY,in-progress,,https://www.rge.com,"RG&E — serves Rochester area. Avangrid/Iberdrola IOU with bespoke portal, adapter needs a live login. Manual PDF upload meanwhile."
centralhudson,Central Hudson Gas & Electric,NY,in-progress,,https://www.centralhudson.com,"Central Hudson — serves mid-Hudson Valley. IOU with bespoke portal, adapter needs a live login. Manual PDF upload meanwhile."
oru,Orange & Rockland Utilities,NY,in-progress,,https://www.oru.com,"O&R — serves Rockland County and Hudson Valley. ConEd subsidiary, IOU with bespoke portal, adapter needs a live login. Manual PDF upload meanwhile."
psegli,PSEG Long Island,NY,in-progress,,https://www.psegliny.com,"PSEG Long Island (formerly LIPA) — serves Long Island and Rockaways. Bespoke portal, adapter needs a live login. Manual PDF upload meanwhile."
jamestown,Jamestown Board of Public Utilities,NY,in-progress,,https://www.cityofjamestownny.com/bpu,"Jamestown BPU — municipal electric in western NY. No SmartHub host found (Jun 2026), likely bespoke or manual billing. Manual PDF upload meanwhile."
massena,Village of Massena Electric Department,NY,in-progress,,,Massena Electric — municipal electric in St. Lawrence County. No SmartHub host or public portal found (Jun 2026). Manual PDF upload meanwhile.
plattsburgh,City of Plattsburgh Municipal Lighting Department,NY,in-progress,,,Plattsburgh MLD — municipal electric in Clinton County. No SmartHub host or public portal found (Jun 2026). Manual PDF upload meanwhile.
rockvillecentre,Village of Rockville Centre Electric Department,NY,in-progress,,,Rockville Centre Electric — Long Island municipal. No SmartHub host or public portal found (Jun 2026). Manual PDF upload meanwhile.
greenport,Village of Greenport Electric Department,NY,in-progress,,,Greenport Electric — Long Island municipal (Suffolk County). No SmartHub host or public portal found (Jun 2026). Manual PDF upload meanwhile.
freeport,Village of Freeport Electric Department,NY,in-progress,,,Freeport Electric — Long Island municipal (Nassau County). No SmartHub host or public portal found (Jun 2026). Manual PDF upload meanwhile.
deposit,Village of Deposit Electric Department,NY,in-progress,,,Deposit Electric — Delaware County municipal. No SmartHub host or public portal found (Jun 2026). Manual PDF upload meanwhile.
fairport,Village of Fairport Electric Department,NY,in-progress,,,Fairport Electric — Monroe County municipal. No SmartHub host or public portal found (Jun 2026). Manual PDF upload meanwhile.
pennyan,Village of Penn Yan Electric Department,NY,in-progress,,,Penn Yan Electric — Yates County municipal. No SmartHub host or public portal found (Jun 2026). Manual PDF upload meanwhile.
boonville,Village of Boonville Electric Department,NY,in-progress,,,Boonville Electric — Oneida County municipal. No SmartHub host or public portal found (Jun 2026). Manual PDF upload meanwhile.
