code,label,state,scrape_status,smarthub_host,portal_url,notes
xcel,Xcel Energy (Northern States Power),MN,in-progress,,https://my.xcelenergy.com,"Major IOU serving metro Twin Cities and statewide (~3.7M customers across 8 states). Bespoke customer portal, not SmartHub. Adapter needs live login. Manual upload meanwhile."
mn_power,Minnesota Power (ALLETE),MN,in-progress,,https://www.mnpower.com/MyAccount,"IOU serving northern MN (~150K customers). ALLETE-owned. Bespoke customer portal, not SmartHub. Adapter needs live login. Manual upload meanwhile."
otter_tail,Otter Tail Power Company,MN,in-progress,,https://www.otpco.com,"IOU serving western MN and parts of Dakotas (~134K customers). Bespoke customer portal, not SmartHub. Adapter needs live login. Manual upload meanwhile."
agralite,Agralite Electric Cooperative,MN,live,agralite.smarthub.coop,https://agralite.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
arrowhead,Arrowhead Electric Cooperative,MN,in-progress,,,Arrowhead Electric Cooperative (Lutsen). SmartHub host aec.smarthub.coop already used by Aiken Electric (SC). No unique MN host found (Jun 2026). Manual PDF upload until portal confirmed.
beltrami,Beltrami Electric Cooperative,MN,live,beltramielectric.smarthub.coop,https://beltramielectric.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
benco,BENCO Electric Cooperative,MN,live,benco.smarthub.coop,https://benco.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
brown_county,Brown County Rural Electric Association,MN,in-progress,,,Brown County REC — serves Brown/Nicollet/Sibley/Redwood/Blue Earth counties. No SmartHub host found (Jun 2026). Manual upload until portal confirmed.
clearwater_polk,Clearwater-Polk Electric Cooperative,MN,live,clearwaterpolk.smarthub.coop,https://clearwaterpolk.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
connexus,Connexus Energy,MN,in-progress,,,Minnesota's largest distribution co-op (147K+ members) serving Ramsey area. No SmartHub host found (Jun 2026). Bespoke portal. Manual upload until confirmed.
clpa,Cooperative Light & Power Association,MN,live,clpower.smarthub.coop,https://clpower.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
crow_wing,Crow Wing Power,MN,live,cwpower.smarthub.coop,https://cwpower.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
