code,label,state,scrape_status,smarthub_host,portal_url,notes
duke_in,Duke Energy Indiana,IN,in-progress,,https://www.duke-energy.com/indiana,"Duke Energy Indiana (investor-owned) — serves ~900k customers across central/northern IN. Customer portal at duke-energy.com, bespoke login. Adapter needs a live login to reverse-engineer. Manual PDF upload meanwhile."
nipsco_in,Northern Indiana Public Service Company (NIPSCO),IN,in-progress,,https://www.nipsco.com,"NIPSCO (NiSource investor-owned utility) — serves ~470k electric customers in northern IN. Customer portal at nipsco.com, bespoke login. Adapter needs a live login. Manual PDF upload meanwhile."
aep_im,Indiana Michigan Power (I&M),IN,in-progress,,https://www.indianamichiganpower.com,"Indiana Michigan Power (AEP subsidiary, investor-owned) — serves ~600k customers in IN/MI. Customer portal at indianamichiganpower.com, bespoke login. Adapter needs a live login. Manual PDF upload meanwhile."
centerpoint_in,CenterPoint Energy (Vectren),IN,in-progress,,https://www.centerpointenergy.com,"CenterPoint Energy (investor-owned, acquired Vectren/SIGECO) — serves southern IN. Customer portal at centerpointenergy.com, bespoke login. Adapter needs a live login. Manual PDF upload meanwhile."
ipl_in,Indianapolis Power & Light (IPL),IN,in-progress,,https://www.iplpower.com,"Indianapolis Power & Light Company (AES subsidiary, investor-owned) — serves Indianapolis metro area. Customer portal at iplpower.com, bespoke login. Adapter needs a live login. Manual PDF upload meanwhile."
bcremc,Bartholomew County REMC,IN,live,bcremc.smarthub.coop,https://bcremc.smarthub.coop,NISC SmartHub portal (bcremc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
cwremc,Carroll White REMC,IN,live,cwremc.smarthub.coop,https://cwremc.smarthub.coop,NISC SmartHub portal (cwremc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
dmremc,Daviess-Martin County REMC,IN,live,dmremc.smarthub.coop,https://dmremc.smarthub.coop,NISC SmartHub portal (dmremc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
dcremc,Decatur County REMC,IN,live,dcremc.smarthub.coop,https://dcremc.smarthub.coop,NISC SmartHub portal (dcremc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
duboisrec,Dubois REC,IN,live,duboisrec.smarthub.coop,https://duboisrec.smarthub.coop,NISC SmartHub portal (duboisrec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
hendrickspower,Hendricks Power Cooperative,IN,live,hendrickspower.smarthub.coop,https://hendrickspower.smarthub.coop,NISC SmartHub portal (hendrickspower.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
henrycountyremc,Henry County REMC,IN,live,henrycountyremc.smarthub.coop,https://henrycountyremc.smarthub.coop,NISC SmartHub portal (henrycountyremc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
jacksonremc,Jackson County REMC,IN,live,jacksonremc.smarthub.coop,https://jacksonremc.smarthub.coop,NISC SmartHub portal (jacksonremc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
jayremc,Jay County REMC,IN,live,jayremc.smarthub.coop,https://jayremc.smarthub.coop,NISC SmartHub portal (jayremc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
jcremc,Johnson County REMC,IN,live,jcremc.smarthub.coop,https://jcremc.smarthub.coop,NISC SmartHub portal (jcremc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
kvremc,Kankakee Valley REMC,IN,live,kvremc.smarthub.coop,https://kvremc.smarthub.coop,NISC SmartHub portal (kvremc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
mwec,Midwestern Electric,IN,live,mwec.smarthub.coop,https://mwec.smarthub.coop,NISC SmartHub portal (mwec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
nobleremc,Noble REMC,IN,live,nobleremc.smarthub.coop,https://nobleremc.smarthub.coop,NISC SmartHub portal (nobleremc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
rse,RushShelby Energy,IN,live,rse.smarthub.coop,https://rse.smarthub.coop,NISC SmartHub portal (rse.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
seiremc,Southeastern Indiana REMC,IN,live,seiremc.smarthub.coop,https://seiremc.smarthub.coop,NISC SmartHub portal (seiremc.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
sirec,Southern Indiana REC,IN,live,sirec.smarthub.coop,https://sirec.smarthub.coop,NISC SmartHub portal (sirec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
tipmont,Tipmont REMC,IN,live,tipmont.smarthub.coop,https://tipmont.smarthub.coop,NISC SmartHub portal (tipmont.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
wabash,Wabash County REMC,IN,live,wabash.smarthub.coop,https://wabash.smarthub.coop,NISC SmartHub portal (wabash.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
