code,label,state,scrape_status,smarthub_host,portal_url,notes
adams_ec,Adams Electric Cooperative,PA,live,adamsec.smarthub.coop,https://adamsec.smarthub.coop,NISC SmartHub portal (adamsec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
bedford_rec,Bedford Rural Electric Cooperative,PA,live,bedfordrec.smarthub.coop,https://bedfordrec.smarthub.coop,NISC SmartHub portal (bedfordrec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
central_ec,Central Electric Cooperative,PA,live,central.smarthub.coop,https://central.smarthub.coop,NISC SmartHub portal (central.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
claverack_rec,Claverack Rural Electric Cooperative,PA,live,claverack.smarthub.coop,https://claverack.smarthub.coop,NISC SmartHub portal (claverack.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
new_enterprise_rec,New Enterprise Rural Electric Cooperative,PA,live,newenterpriserec.smarthub.coop,https://newenterpriserec.smarthub.coop,NISC SmartHub portal (newenterpriserec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
northwestern_rec,Northwestern Rural Electric Cooperative,PA,live,northwesternrec.smarthub.coop,https://northwesternrec.smarthub.coop,NISC SmartHub portal (northwesternrec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
rea_energy,REA Energy Cooperative,PA,live,reaenergy.smarthub.coop,https://reaenergy.smarthub.coop,NISC SmartHub portal (reaenergy.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
somerset_rec,Somerset Rural Electric Cooperative,PA,live,somersetrec.smarthub.coop,https://somersetrec.smarthub.coop,NISC SmartHub portal (somersetrec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
tri_county_rec,Tri-County Rural Electric Cooperative,PA,live,tricountyrec.smarthub.coop,https://tricountyrec.smarthub.coop,NISC SmartHub portal (tricountyrec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
united_ec,United Electric Cooperative,PA,live,unitedpa.smarthub.coop,https://unitedpa.smarthub.coop,NISC SmartHub portal (unitedpa.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
valley_rec,Valley Rural Electric Cooperative,PA,live,valleyrec.smarthub.coop,https://valleyrec.smarthub.coop,NISC SmartHub portal (valleyrec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
warren_ec,Warren Electric Cooperative,PA,live,warrenec.smarthub.coop,https://warrenec.smarthub.coop,NISC SmartHub portal (warrenec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
sullivan_rec,Sullivan County Rural Electric Cooperative,PA,in-progress,,https://www.screc.com,"Sullivan County REC — no SmartHub host found (tested screc.smarthub.coop, sullivancountyrec.smarthub.coop). Likely has a bespoke portal. Manual PDF upload accepted meanwhile."
ppl,PPL Electric Utilities,PA,in-progress,,https://www.pplelectric.com/my-account,"PPL Electric Utilities — 1.4 million customers in central and eastern PA (29 counties). Investor-owned, NOT on NISC SmartHub. Bespoke customer portal, adapter needs a live login. Manual PDF upload accepted meanwhile."
peco,PECO Energy Company (Exelon),PA,in-progress,,https://www.peco.com/myaccount,"PECO Energy (Exelon) — 1.7 million customers in southeastern PA (Philadelphia region). Investor-owned, NOT on NISC SmartHub. Bespoke Exelon customer portal, adapter needs a live login. Manual PDF upload accepted meanwhile."
duquesne,Duquesne Light Company,PA,in-progress,,https://duquesnelight.com/login,"Duquesne Light — Pittsburgh area and southwestern PA. Investor-owned, NOT on NISC SmartHub. Bespoke customer portal, adapter needs a live login. Manual PDF upload accepted meanwhile."
