code,label,state,scrape_status,smarthub_host,portal_url,notes
idaho_power,Idaho Power Company,ID,in-progress,,https://www.idahopower.com,"Investor-owned utility, largest in ID (~75% of state). MyAccount portal — bespoke, NOT SmartHub. Adapter needs live login. Manual upload meanwhile."
rocky_mountain,Rocky Mountain Power (PacifiCorp),ID,in-progress,,https://www.rockymountainpower.net,"PacifiCorp d/b/a Rocky Mountain Power, serves SE Idaho. Investor-owned, bespoke portal. Adapter needs live login. Manual upload meanwhile."
avista,Avista Utilities,ID,in-progress,,https://www.myavista.com,"Investor-owned utility, serves northern Idaho (Coeur d'Alene area). MyAvista portal — bespoke, NOT SmartHub. Adapter needs live login. Manual upload meanwhile."
kec,Kootenai Electric Cooperative,ID,live,kec.smarthub.coop,https://kec.smarthub.coop,NISC SmartHub portal (kec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
id_mec,Modern Electric Cooperative,ID,in-progress,,,Rural electric cooperative in north-central Idaho. Likely has SmartHub portal but distinct host not found (mec.smarthub.coop belongs to TN's Mountain Electric). Manual PDF upload until correct host verified.
id_srec,Salmon River Electric Cooperative,ID,in-progress,,,Rural electric cooperative in central Idaho. Likely has SmartHub portal but distinct host not found (srec.smarthub.coop belongs to NY's Steuben REC). Manual PDF upload until correct host verified.
unitedelectric,United Electric Cooperative,ID,live,unitedelectric.smarthub.coop,https://unitedelectric.smarthub.coop,NISC SmartHub portal (unitedelectric.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
clearwater,Clearwater Power Company,ID,live,clearwaterpower.smarthub.coop,https://clearwaterpower.smarthub.coop,NISC SmartHub portal (clearwaterpower.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
seci,Southeastern Idaho Cooperative,ID,in-progress,,,Rural electric cooperative in SE Idaho. Likely has SmartHub portal but distinct host not found (southeasternelectric.smarthub.coop belongs to SD's Southeastern Electric). Manual PDF upload until correct host verified.
custertel,Custer Telephone Cooperative (Electric Division),ID,live,custertel.smarthub.coop,https://custertel.smarthub.coop,NISC SmartHub portal (custertel.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
id_lrec,Lost River Electric Cooperative,ID,in-progress,,,Rural electric cooperative in south-central Idaho. Likely has SmartHub portal but distinct host not found (lrec.smarthub.coop belongs to SD's Lake Region Electric). Manual PDF upload until correct host verified.
crec,Centennial Rural Electric Cooperative,ID,live,crec.smarthub.coop,https://crec.smarthub.coop,NISC SmartHub portal (crec.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
raft_river,Raft River Rural Electric Cooperative,ID,in-progress,,,Rural electric cooperative in south-central Idaho. No SmartHub host found that resolves (tried raft-river/raftriver/rrec/rreca). Manual PDF upload until portal confirmed.
idaho_falls,City of Idaho Falls Power,ID,in-progress,,https://www.idahofallsidaho.gov/505/Power,"Municipal utility. City-owned, NOT on SmartHub. Customer portal exists but adapter needs live login. Manual upload meanwhile."
idaho_county,Idaho County Light & Power Cooperative,ID,in-progress,,,Rural electric cooperative in north-central Idaho. No SmartHub host found. Manual PDF upload until portal confirmed.
