code,label,state,scrape_status,smarthub_host,portal_url,notes
ok_oge,Oklahoma Gas and Electric (OG&E),OK,in-progress,,https://www.oge.com/wps/portal/ord/signin,"Major IOU serving most of Oklahoma. Bespoke customer portal, adapter needs live login to reverse-engineer. Manual PDF upload meanwhile."
pso,Public Service Company of Oklahoma (PSO),OK,in-progress,,https://www.psoklahoma.com/account/login/,"IOU (American Electric Power / AEP subsidiary), ~540k customers in eastern/southwestern OK. Bespoke portal, adapter needs live login. Manual PDF upload meanwhile."
ok_liberty_empire,Liberty Utilities (The Empire District Electric),OK,in-progress,,https://myaccount.libertyenergyandwater.com/portal/,"IOU (Algonquin Power subsidiary) serving parts of OK/MO/KS/AR. Bespoke portal, adapter needs live login. Manual PDF upload meanwhile."
alfalfa,Alfalfa Electric Cooperative,OK,live,alfalfaelectric.smarthub.coop,https://alfalfaelectric.smarthub.coop,NISC SmartHub portal (alfalfaelectric.smarthub.coop confirmed Jun 2026) — serves Alfalfa/Garfield/Grant/Major/Woods (OK) + Barber/Harper (KS). Extension scrapes billing + usage. kWh unverified on real generation meter.
canadianvalley,Canadian Valley Electric Cooperative,OK,live,canadianvalley.smarthub.coop,https://canadianvalley.smarthub.coop,NISC SmartHub portal (canadianvalley.smarthub.coop confirmed Jun 2026) — Seminole HQ. Extension scrapes billing + usage. kWh unverified on real generation meter.
centralrural,Central Rural Electric Cooperative,OK,live,mycentral.smarthub.coop,https://mycentral.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. siteName 'Central Rural Electric Cooperative & Centranet' + the co-op's own site crec.coop / mycentral.coop (Stillwater OK) links this host — verified Jul 2026. kWh unverified on a real generation meter; verify before trusting reports.
choctaw,Choctaw Electric Cooperative,OK,live,choctawelectric.smarthub.coop,https://choctawelectric.smarthub.coop,NISC SmartHub portal (choctawelectric.smarthub.coop confirmed Jun 2026) — Hugo HQ. Extension scrapes billing + usage. kWh unverified on real generation meter.
cimarron,Cimarron Electric Cooperative,OK,live,cimarronelectric.smarthub.coop,https://cimarronelectric.smarthub.coop,NISC SmartHub portal (cimarronelectric.smarthub.coop confirmed Jun 2026) — Kingfisher HQ. Extension scrapes billing + usage. kWh unverified on real generation meter.
cooksonhills,Cookson Hills Electric Cooperative,OK,live,cooksonhills.smarthub.coop,https://cooksonhills.smarthub.coop,NISC SmartHub portal (cooksonhills.smarthub.coop confirmed Jun 2026) — Stigler HQ. Extension scrapes billing + usage. kWh unverified on real generation meter.
cotton,Cotton Electric Cooperative,OK,live,cottonelectric.smarthub.coop,https://cottonelectric.smarthub.coop,NISC SmartHub portal (cottonelectric.smarthub.coop confirmed Jun 2026) — Walters HQ. Extension scrapes billing + usage. kWh unverified on real generation meter.
ok_ecec,East Central Electric Cooperative,OK,in-progress,,,"Okmulgee HQ. CRITICAL: ecec.smarthub.coop belongs to Wisconsin's East Central Energy, NOT this utility. OK's East Central EC SmartHub host not found (tested multiple patterns). Manual PDF upload until host confirmed."
harmon,Harmon Electric Cooperative,OK,live,harmonelectric.smarthub.coop,https://harmonelectric.smarthub.coop,NISC SmartHub portal (harmonelectric.smarthub.coop confirmed Jun 2026) — Hollis HQ. Extension scrapes billing + usage. kWh unverified on real generation meter.
kay,Kay Electric Cooperative,OK,live,kayelectric.smarthub.coop,https://kayelectric.smarthub.coop,NISC SmartHub portal (kayelectric.smarthub.coop confirmed Jun 2026) — Blackwell HQ. Extension scrapes billing + usage. kWh unverified on real generation meter.
kiamichi,Kiamichi Electric Cooperative,OK,live,kiamichielectric.smarthub.coop,https://kiamichielectric.smarthub.coop,NISC SmartHub portal (kiamichielectric.smarthub.coop confirmed Jun 2026) — Antlers HQ. Extension scrapes billing + usage. kWh unverified on real generation meter.
lakeregion_ok,Lake Region Electric Cooperative,OK,live,lrecok.smarthub.coop,https://lrecok.smarthub.coop,CRITICAL: lakeregion.smarthub.coop resolves but is ALREADY USED by Minnesota's Lake Region EC. OK co-op (Hulbert) is distinct — needs unique SmartHub host or different portal. Manual PDF upload until host conflict resolved. SmartHub host auto-discovered + siteName-verified ('Lake Region Electric Cooperative') Jul 2026.
nwec,Northwestern Electric Cooperative,OK,live,nwec.smarthub.coop,https://nwec.smarthub.coop,NISC SmartHub portal (nwec.smarthub.coop confirmed Jun 2026) — Woodward HQ. Extension scrapes billing + usage. kWh unverified on real generation meter.
okcoop,Oklahoma Electric Cooperative,OK,live,okcoop.smarthub.coop,https://okcoop.smarthub.coop,NISC SmartHub portal (okcoop.smarthub.coop confirmed Jun 2026) — Norman HQ. Extension scrapes billing + usage. kWh unverified on real generation meter.
peopleselectric,People's Electric Cooperative,OK,live,peopleselectric.smarthub.coop,https://peopleselectric.smarthub.coop,"NISC SmartHub portal (peopleselectric.smarthub.coop confirmed Jun 2026) — Ada HQ, ~16k members in 11 counties. Extension scrapes billing + usage. kWh unverified on real generation meter."
rrvrea,Red River Valley Electric Cooperative,OK,live,rrvrea.smarthub.coop,https://rrvrea.smarthub.coop,NISC SmartHub portal (rrvrea.smarthub.coop confirmed Jun 2026) — Marietta HQ. Extension scrapes billing + usage. kWh unverified on real generation meter.
ok_sec,Southeastern Electric Cooperative,OK,in-progress,,,Durant HQ. CRITICAL: southeasternelectric.smarthub.coop resolves but is ALREADY USED by South Dakota's Southeastern EC. OK co-op is distinct — needs unique SmartHub host. Manual PDF upload until host confirmed.
ok_tcec,Tri County Electric Cooperative,OK,live,tcec.smarthub.coop,https://tcec.smarthub.coop,"Hooker HQ, serves OK/KS/TX/NM/CO panhandle. NISC SmartHub portal — siteName 'TCEC' + own site tcec.coop links tcec.smarthub.coop — verified Jul 2026 (an earlier note wrongly attributed this host to Florida's Tri-County; FL uses tcecfl.smarthub.coop). kWh unverified on a real generation meter."
vvec,Verdigris Valley Electric Cooperative,OK,live,vvec.smarthub.coop,https://vvec.smarthub.coop,"NISC SmartHub portal (vvec.smarthub.coop confirmed Jun 2026) — Collinsville HQ, OK's 3rd largest co-op with 35k+ meters. Extension scrapes billing + usage. kWh unverified on real generation meter."
ckenergy,CKenergy Electric Cooperative,OK,in-progress,,,"Binger HQ. No SmartHub host found on NISC SmartHub (multiple patterns tested, all 000/404). May use different portal system. Manual PDF upload meanwhile."
indian,Indian Electric Cooperative,OK,in-progress,,,"Cleveland HQ. No SmartHub host found on NISC SmartHub (multiple patterns tested, all 000). May use different portal system. Manual PDF upload meanwhile."
neoc,Northeast Oklahoma Electric Cooperative,OK,live,neelectric.smarthub.coop,https://neelectric.smarthub.coop,"Vinita HQ, ~38k meters across 6 counties. No SmartHub host found (multiple patterns tested, all 000). May use different portal system. Manual PDF upload meanwhile. SmartHub host auto-discovered + siteName-verified ('Northeast Oklahoma Electric') Jul 2026."
northfork,Northfork Electric Cooperative,OK,live,nfecoop.smarthub.coop,https://nfecoop.smarthub.coop,"Sayre HQ, ~6.9k meters. No SmartHub host found (multiple patterns tested, all 000). May use different portal system. Manual PDF upload meanwhile. SmartHub host auto-discovered + siteName-verified ('Northfork Electric Cooperative') Jul 2026."
rural,Rural Electric Cooperative,OK,in-progress,,,"Lindsay HQ. No SmartHub host found on NISC SmartHub (multiple patterns tested, all 000). May use different portal system. Manual PDF upload meanwhile."
southwest,Southwest Rural Electric Cooperative,OK,in-progress,,,"Tipton HQ. No SmartHub host found on NISC SmartHub (multiple patterns tested, all 000). May use different portal system. Manual PDF upload meanwhile."
edmond,City of Edmond (Edmond Electric),OK,in-progress,,https://www.edmondok.gov/224/Edmond-Electric,"Municipal utility serving Edmond, OK. Municipal portal, not SmartHub. Adapter needs live login. Manual PDF upload meanwhile."
ponca,Ponca City Utility Authority,OK,in-progress,,https://poncacityok.municipalonlinepayments.com/poncacityok/utilities,"Municipal utility serving Ponca City, OK. Municipal online payments portal, not SmartHub. Adapter needs live login. Manual PDF upload meanwhile."
stillwater,Stillwater Utilities Authority,OK,in-progress,,,"Municipal utility serving Stillwater, OK (GRDA's largest municipal customer). No public customer portal found. Manual PDF upload meanwhile."
