code,label,state,scrape_status,smarthub_host,portal_url,notes
midamerican_ia,MidAmerican Energy Company (Iowa),IA,in-progress,,https://www.midamericanenergy.com,"Major IOU serving ~2/3 of Iowa (Des Moines, Sioux City, Council Bluffs, Waterloo, Iowa City, Quad Cities). Also serves IL/SD/NE. Bespoke customer portal — adapter needs live login. Manual PDF upload meanwhile."
alliant_ia,Alliant Energy / Interstate Power and Light (IPL),IA,in-progress,,https://myaccount.alliantenergy.com,"Major IOU serving eastern Iowa (Cedar Rapids, Dubuque, Mason City). 490k electric customers in IA. Alliant MyAccount portal — bespoke, adapter needs live login. Manual PDF upload meanwhile."
butlercounty_rec,Butler County Rural Electric Cooperative,IA,live,butlerrec.smarthub.coop,https://butlerrec.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
consumersenergy,Consumers Energy (IA co-op),IA,live,consumersenergy.smarthub.coop,https://consumersenergy.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
corridor,Corridor Energy Cooperative (formerly Linn County REC),IA,live,corridorenergy.smarthub.coop,https://corridorenergy.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
easterniowa_lp,Eastern Iowa Light & Power Cooperative,IA,live,easterniowa.smarthub.coop,https://easterniowa.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
eastcentral_ia,East-Central Iowa Rural Electric Cooperative,IA,live,ecirec.smarthub.coop,https://ecirec.smarthub.coop,"NISC SmartHub portal — extension scrapes billing + usage. Serves 11 counties: Benton, Buchanan, Fayette, Bremer, Black Hawk, Linn, Delaware, Clayton, Tama, Iowa, Johnson. kWh unverified on a real generation meter; verify before trusting reports."
farmers_rec,Farmers Electric Cooperative (multiple IA locations),IA,live,farmersrec.smarthub.coop,https://farmersrec.smarthub.coop,"NISC SmartHub portal — extension scrapes billing + usage. Note: Iowa has multiple Farmers co-ops (Greenfield, Kalona); this SmartHub host may serve one or both. Verify customer assignment. kWh unverified on a real generation meter; verify before trusting reports."
franklin_rec,Franklin Rural Electric Cooperative,IA,live,franklinrec.smarthub.coop,https://franklinrec.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
harrison_rec,Harrison County Rural Electric Cooperative,IA,live,hcrec.smarthub.coop,https://hcrec.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
heartland_power,Heartland Power Cooperative,IA,live,heartlandpower.smarthub.coop,https://heartlandpower.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
iowalakes,Iowa Lakes Electric Cooperative,IA,live,ilec.smarthub.coop,https://ilec.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
lyon_rec,Lyon Rural Electric Cooperative,IA,live,lyrec.smarthub.coop,https://lyrec.smarthub.coop,NISC SmartHub portal — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
