code,label,state,scrape_status,smarthub_host,portal_url,notes
entergy_ms,Entergy Mississippi,MS,in-progress,,https://www.myentergy.com/login,"Major IOU serving ~450k customers statewide. MyEntergy customer portal — bespoke, adapter needs a live login. Manual upload meanwhile."
ms_power,Mississippi Power Company,MS,in-progress,,https://customerservice2.southerncompany.com/Login?mnuOpco=mpc,"Southern Company subsidiary serving ~190k customers in southeast MS. Southern Company portal — bespoke, adapter needs a live login. Manual upload meanwhile."
coast_electric,Coast Electric Power Association,MS,live,coastelectric.smarthub.coop,https://coastelectric.smarthub.coop,NISC SmartHub portal (coastelectric.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
dixie_epa,Dixie Electric Power Association,MS,live,dixieepa.smarthub.coop,https://dixieepa.smarthub.coop,NISC SmartHub portal (dixieepa.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
magnolia_epa,Magnolia Electric Power Association,MS,live,magnoliaepa.smarthub.coop,https://magnoliaepa.smarthub.coop,NISC SmartHub portal (magnoliaepa.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
monroe_county_ec,Monroe County Electric Power Association,MS,in-progress,,https://billing.monroecountyelectric.com/onlineportal/,[host unattributed] Monroe County EPA (MS). mcec.smarthub.coop could not be uniquely attributed (Jun 2026); needs verification before going live. Manual upload meanwhile.
northcentral_ec,Northcentral Electric Cooperative,MS,live,northcentralelectric.smarthub.coop,https://bpp.northcentralepa.com/,NISC SmartHub portal (northcentralelectric.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
singing_river,Singing River Electric Cooperative,MS,live,singingriver.smarthub.coop,https://singingriver.smarthub.coop,NISC SmartHub portal (singingriver.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
southwest_epa,Southwest Mississippi Electric Power Association,MS,live,southwestepa.smarthub.coop,https://southwestepa.smarthub.coop,NISC SmartHub portal (southwestepa.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
central_epa,Central Electric Power Association,MS,in-progress,,https://centralepa.com/,"Serves 7 central MS counties. No SmartHub host found (tested multiple patterns Jun 2026). Custom portal on centralepa.com, adapter needs a live login. Manual upload meanwhile."
coahoma_epa,Coahoma Electric Power Association,MS,in-progress,,https://www.coahomaepa.com/,Serves 7 northwest MS counties. No SmartHub host found (tested multiple patterns Jun 2026). Adapter needs a live login. Manual upload meanwhile.
cooperative_energy,Cooperative Energy,MS,in-progress,,https://myelectriccooperative.com/,"G&T cooperative serving 11 MS distribution co-ops. Online portal at myelectriccooperative.com, adapter needs a live login. Manual upload meanwhile."
delta_epa,Delta Electric Power Association,MS,in-progress,,https://billing.deltaepa.com/onlineportal/,"Serves 10 northwestern MS counties. Custom portal (billing.deltaepa.com/onlineportal/), NOT SmartHub (tested Jun 2026). Adapter needs a live login. Manual upload meanwhile."
east_ms_epa,East Mississippi Electric Power Association,MS,in-progress,,https://www.emepa.com/,"Serves Clarke, Kemper, Lauderdale, Winston counties. No SmartHub host found (tested Jun 2026). Adapter needs a live login. Manual upload meanwhile."
four_county,4-County Electric Power Association,MS,in-progress,,https://www.4county.org/,Serves 9 east central MS counties. No SmartHub host found (tested multiple patterns Jun 2026). Adapter needs a live login. Manual upload meanwhile.
natchez_trace,Natchez Trace Electric Power Association,MS,in-progress,,https://www.ntepa.com/,"Serves Calhoun, Chickasaw, Clay, Grenada, Pontotoc, Webster, Yalobusha counties. No SmartHub host found (tested Jun 2026). Adapter needs a live login. Manual upload meanwhile."
ne_ms_epa,North East Mississippi Electric Power Association (NEMEPA),MS,in-progress,,https://www.nemepa.org/,"Serves Lafayette, Marshall, Union, Benton, Pontotoc counties. No SmartHub host found (tested Jun 2026). Adapter needs a live login. Manual upload meanwhile."
pontotoc_epa,Pontotoc Electric Power Association,MS,in-progress,,https://pepa.com/customer-portal/,"Serves Pontotoc, Calhoun, Union, Lafayette, Chickasaw, Lee counties. Custom portal (pepa.com/customer-portal/), NOT SmartHub (tested Jun 2026). Adapter needs a live login. Manual upload meanwhile."
pearl_river_valley,Pearl River Valley Electric Power Association,MS,in-progress,,https://www.prvepa.com/,Serves 12 south central MS counties. No SmartHub host found (tested Jun 2026). Adapter needs a live login. Manual upload meanwhile.
southern_pine,Southern Pine Electric,MS,in-progress,,https://southernpine.coop/,"Largest geographical co-op in MS, serves 11 counties. No SmartHub host found (tested Jun 2026). Adapter needs a live login. Manual upload meanwhile."
tippah_epa,Tippah Electric Power Association,MS,in-progress,,https://bpp.tippahepa.com/onlineportal,"Serves Tippah, Union, Alcorn, Benton counties (MS) + Hardeman County (TN). Custom portal (bpp.tippahepa.com/onlineportal), NOT SmartHub (tested Jun 2026). Adapter needs a live login. Manual upload meanwhile."
