code,label,state,scrape_status,smarthub_host,portal_url,notes
black_hills,Black Hills Energy,SD,in-progress,,https://www.blackhillsenergy.com/my-account,"Black Hills Energy (IOU) — bespoke MyAccount portal, NOT SmartHub. Adapter needs a live login. Manual PDF upload meanwhile."
mdu,Montana-Dakota Utilities Co.,SD,in-progress,,https://customer.montana-dakota.com/login,"Montana-Dakota Utilities (MDU, IOU) — bespoke customer portal, NOT SmartHub. Adapter needs a live login. Manual PDF upload meanwhile."
northwestern,NorthWestern Energy,SD,in-progress,,https://www.northwesternenergy.com/,"NorthWestern Energy (IOU) — MyEnergy Account portal, NOT SmartHub. Adapter needs a live login. Manual PDF upload meanwhile."
bhec,Black Hills Electric Cooperative,SD,live,bhec.smarthub.coop,https://bhec.smarthub.coop,NISC SmartHub portal (bhec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
butte_electric,Butte Electric Cooperative,SD,live,butteelectric.smarthub.coop,https://butteelectric.smarthub.coop,NISC SmartHub portal (butteelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
cec_sd,Central Electric Cooperative,SD,live,centralec.smarthub.coop,https://centralec.smarthub.coop,NISC SmartHub portal (cec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
charles_mix,Charles Mix Electric Association,SD,live,charlesmix.smarthub.coop,https://charlesmix.smarthub.coop,NISC SmartHub portal (charlesmix.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
cherry_todd,Cherry-Todd Electric Cooperative,SD,live,cherrytodd.smarthub.coop,https://cherrytodd.smarthub.coop,NISC SmartHub portal (cherrytodd.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
codington_clark,Codington-Clark Electric Cooperative,SD,live,codingtonclarkelectric.smarthub.coop,https://codingtonclarkelectric.smarthub.coop,NISC SmartHub portal (codingtonclarkelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
dakota_energy,Dakota Energy Cooperative,SD,live,dakotaenergy.smarthub.coop,https://dakotaenergy.smarthub.coop,NISC SmartHub portal (dakotaenergy.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
douglas_sd,Douglas Electric Cooperative,SD,live,douglaselectric.smarthub.coop,https://douglaselectric.smarthub.coop,NISC SmartHub portal (douglaselectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
fem,FEM Electric Association,SD,live,femelectric.smarthub.coop,https://femelectric.smarthub.coop,NISC SmartHub portal (femelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
grand_electric,Grand Electric Cooperative,SD,live,grandelectric.smarthub.coop,https://grandelectric.smarthub.coop,NISC SmartHub portal (grandelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
hd_electric,H-D Electric Cooperative,SD,live,hdelectric.smarthub.coop,https://hdelectric.smarthub.coop,NISC SmartHub portal (hdelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
kingsbury,Kingsbury Electric Cooperative,SD,live,kecsd.smarthub.coop,https://kecsd.smarthub.coop,NISC SmartHub portal (kecsd.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
lacreek,Lacreek Electric Association,SD,live,lacreek.smarthub.coop,https://lacreek.smarthub.coop,NISC SmartHub portal (lacreek.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
lrec,Lake Region Electric Association,SD,live,lrec.smarthub.coop,https://lrec.smarthub.coop,NISC SmartHub portal (lrec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
northern_electric,Northern Electric Cooperative,SD,live,northernelectric.smarthub.coop,https://northernelectric.smarthub.coop,NISC SmartHub portal (northernelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
oahe,Oahe Electric Cooperative,SD,live,oaheelectric.smarthub.coop,https://oaheelectric.smarthub.coop,NISC SmartHub portal (oaheelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
southeastern,Southeastern Electric Cooperative,SD,live,southeasternelectric.smarthub.coop,https://southeasternelectric.smarthub.coop,NISC SmartHub portal (southeasternelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
west_central_sd,West Central Electric Cooperative,SD,in-progress,,https://westcentralelectric.smarthub.coop,"[host unattributed] West Central Electric Coop (SD, Murdo). westcentralelectric.smarthub.coop could not be uniquely attributed vs MO West Central (Jun 2026). Manual upload until verified."
west_river,West River Electric Association,SD,live,westriver.smarthub.coop,https://westriver.smarthub.coop,NISC SmartHub portal (westriver.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
whetstone,Whetstone Valley Electric Cooperative,SD,live,whetstone.smarthub.coop,https://whetstone.smarthub.coop,NISC SmartHub portal (whetstone.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
bon_homme_yankton,Bon Homme Yankton Electric Association,SD,in-progress,,,Co-op in Tabor SD. No SmartHub host found after systematic probing (Jun 2026). Manual PDF upload until portal confirmed.
cam_wal,Cam Wal Electric Cooperative,SD,in-progress,,,Co-op in Selby SD. No SmartHub host found after systematic probing (Jun 2026). Manual PDF upload until portal confirmed.
clay_union,Clay-Union Electric Cooperative,SD,in-progress,,,Co-op in Vermillion SD. No SmartHub host found after systematic probing (Jun 2026). Manual PDF upload until portal confirmed.
moreau_grand,Moreau-Grand Electric Cooperative,SD,live,mge.smarthub.coop,https://mge.smarthub.coop,Co-op in Timber Lake SD. No SmartHub host found after systematic probing (Jun 2026). Manual PDF upload until portal confirmed. SmartHub host auto-discovered + siteName-verified ('Moreau-Grand Electric (MGE)') Jul 2026.
rosebud,Rosebud Electric Cooperative,SD,live,rosebudcoop.smarthub.coop,https://rosebudcoop.smarthub.coop,Co-op in Gregory SD. No SmartHub host found after systematic probing (Jun 2026). Manual PDF upload until portal confirmed. SmartHub host auto-discovered + siteName-verified ('Rosebud Electric Cooperative') Jul 2026.
union_county,Union County Electric Cooperative,SD,in-progress,,,Co-op in Elk Point SD. No SmartHub host found after systematic probing (Jun 2026). Manual PDF upload until portal confirmed.
arlington,City of Arlington Municipal Electric,SD,in-progress,,https://cityofarlingtonsd.com/utilities,"Municipal electric utility. No SmartHub found, portal may be on third-party billing system. Manual PDF upload meanwhile."
aurora,City of Aurora Municipal Electric,SD,in-progress,,https://cityofaurorasd.com/utilities,"Municipal electric utility. No SmartHub found, portal may be on third-party billing system. Manual PDF upload meanwhile."
beresford,City of Beresford Municipal Electric,SD,in-progress,,https://beresfordsd.com/electric,"Municipal electric utility. No SmartHub found, portal may be on third-party billing system. Manual PDF upload meanwhile."
brookings,Brookings Municipal Utilities,SD,in-progress,,https://brookingsutilities.merchanttransact.com,"Municipal utility (electric, water, etc.). Springbrook-powered billing portal, NOT SmartHub. Manual PDF upload meanwhile."
pierre,Pierre Electric Department,SD,in-progress,,https://ci.pierre.sd.us,"Municipal electric department (city of Pierre). No SmartHub found, portal may be on third-party billing system. Manual PDF upload meanwhile."
sioux_falls,Sioux Falls Electric Light & Power,SD,in-progress,,https://www.siouxfalls.gov,"Sioux Falls municipal electric utility. No SmartHub found, portal may be on third-party billing system. Manual PDF upload meanwhile."
vermillion,Vermillion Light and Power,SD,in-progress,,https://vermillion.us,"Municipal electric utility. No SmartHub found, portal may be on third-party billing system. Manual PDF upload meanwhile."
watertown,Watertown Municipal Utilities,SD,in-progress,,https://ecare.watertownmu.com/login.asp,"Municipal utility (electric, water, etc.). Bespoke eCare portal, NOT SmartHub. Manual PDF upload meanwhile."
