code,label,state,scrape_status,smarthub_host,portal_url,notes
entergy_la,Entergy Louisiana,LA,in-progress,,https://www.entergy-louisiana.com,"Major IOU serving ~1.1M customers statewide. Entergy MyAccount portal — bespoke, adapter needs a live login. Manual PDF upload meanwhile."
cleco,CLECO (Central Louisiana Electric Company),LA,in-progress,,https://www.cleco.com,"IOU serving central Louisiana. CLECO MyAccount — bespoke, adapter needs a live login. Manual PDF upload meanwhile."
demco,Dixie Electric Membership Corporation (DEMCO),LA,live,demco.smarthub.coop,https://demco.smarthub.coop,NISC SmartHub portal (demco.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
slemco,South Louisiana Electric Membership Corporation (SLEMCO),LA,live,slemco.smarthub.coop,https://slemco.smarthub.coop,NISC SmartHub portal (slemco.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
concordia,Concordia Electric Cooperative,LA,in-progress,,,Electric cooperative serving Concordia Parish area. No unique SmartHub host found (cec.smarthub.coop is SC's Central; cemc.smarthub.coop is NC's Central EMC; tried concordia/concordiaemc Jun 2026). Manual PDF upload until portal confirmed.
beauregard,Beauregard Electric Membership Corporation,LA,in-progress,,,Electric cooperative serving Beauregard Parish area. No SmartHub host found (bemc.smarthub.coop is NC's Brunswick; tried beauregard/beauregardemc/bec Jun 2026). Manual PDF upload until portal confirmed.
pcemc,Pointe Coupee Electric Membership Corporation,LA,live,pcemc.smarthub.coop,https://pcemc.smarthub.coop,"NISC SmartHub portal (pcemc.smarthub.coop confirmed Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports. Brand-style flag resolved Jul 2026: siteName 'PC Electric' IS Pointe Coupee's brand (own site pcemc.org titles 'PC Electric', New Roads LA)."
wstec,"Washington-St. Tammany Electric Cooperative, Inc.",LA,in-progress,,,Electric cooperative serving Washington and St. Tammany parishes. No SmartHub host found (tried wstec/washingtonstammany/wst/wstemc Jun 2026). Manual PDF upload until portal confirmed.
sleca,South Louisiana Electric Cooperative Association,LA,in-progress,,,Electric cooperative. No SmartHub host found (tried sleca/southlouisiana Jun 2026). Manual PDF upload until portal confirmed.
swlemc,Southwest Louisiana Electric Membership Corporation,LA,in-progress,,,Electric cooperative serving southwest LA. No SmartHub host found (tried swlemc/southwestla/swla Jun 2026). Manual PDF upload until portal confirmed.
jdemc,Jeff Davis Electric Cooperative,LA,in-progress,,,Electric cooperative serving Jeff Davis Parish area. No SmartHub host found (tried jeffdavis/jdemc/jdec Jun 2026). Manual PDF upload until portal confirmed.
cecc,Claiborne Electric Cooperative,LA,in-progress,,,Electric cooperative serving Claiborne Parish area. No SmartHub host found (tried claiborne/cecc/clec Jun 2026). Manual PDF upload until portal confirmed.
la_lafayette,Lafayette Utilities System (LUS Fiber),LA,in-progress,,https://www.lus.org,"Municipal utility serving Lafayette, LA. LUS customer portal — not on SmartHub, adapter needs a live login. Manual PDF upload meanwhile."
morgan_city,Morgan City Electric Utility,LA,manual,,,Municipal utility serving Morgan City. No customer portal found (Jun 2026). Manual PDF upload.
alexandria,Alexandria Utility System,LA,manual,,,Municipal utility serving Alexandria. No customer portal found (Jun 2026). Manual PDF upload.
ruston,Ruston Water & Electric,LA,manual,,,Municipal utility serving Ruston. No customer portal found (Jun 2026). Manual PDF upload.
