code,label,state,scrape_status,smarthub_host,portal_url,notes
we_energies,WE Energies (Wisconsin Electric Power Co.),WI,in-progress,,https://www.we-energies.com,"Major IOU serving southeast WI (Milwaukee, etc.). Bespoke portal, not SmartHub. Adapter needs live login to reverse-engineer. Manual PDF upload meanwhile."
alliant,Alliant Energy (WPL + Interstate Power & Light),WI,in-progress,,https://www.alliantenergy.com,"Major IOU serving south-central and southwest WI. Bespoke portal, not SmartHub. Adapter needs live login. Manual PDF upload meanwhile."
mge,Madison Gas & Electric,WI,in-progress,,https://www.mge.com,"IOU serving Madison area. Bespoke portal, not SmartHub. Adapter needs live login. Manual PDF upload meanwhile."
xcel_wi,Xcel Energy (Northern States Power - WI),WI,in-progress,,https://www.xcelenergy.com,"IOU serving northwest WI. Bespoke portal, not SmartHub. Adapter needs live login. Manual PDF upload meanwhile."
superior_wlp,Superior Water Light & Power,WI,in-progress,,https://www.ci.superior.wi.us/191/Water-Light-Power,"Municipal utility serving Superior, WI. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed."
barron,Barron Electric Cooperative,WI,live,barronelectric.smarthub.coop,https://barronelectric.smarthub.coop,NISC SmartHub portal (barronelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
bayfield,Bayfield Electric Cooperative,WI,live,bayfieldelectric.smarthub.coop,https://bayfieldelectric.smarthub.coop,NISC SmartHub portal (bayfieldelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
chippewa_valley,Chippewa Valley Electric Cooperative,WI,live,cve.smarthub.coop,https://cve.smarthub.coop,NISC SmartHub portal (cve.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
dunnenergy,Dunn Energy Cooperative,WI,live,dunnenergy.smarthub.coop,https://dunnenergy.smarthub.coop,NISC SmartHub portal (dunnenergy.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
ecec,Eau Claire Energy Cooperative,WI,live,ecec.smarthub.coop,https://ecec.smarthub.coop,NISC SmartHub portal (ecec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
jrec,Jump River Electric Cooperative,WI,live,jrec.smarthub.coop,https://jrec.smarthub.coop,NISC SmartHub portal (jrec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
oconto,Oconto Electric Cooperative,WI,live,ocontoelectric.smarthub.coop,https://ocontoelectric.smarthub.coop,NISC SmartHub portal (ocontoelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
piercepepin,Pierce Pepin Cooperative Services,WI,live,piercepepin.smarthub.coop,https://piercepepin.smarthub.coop,NISC SmartHub portal (piercepepin.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
polkburnett,Polk-Burnett Electric Cooperative,WI,live,polkburnett.smarthub.coop,https://polkburnett.smarthub.coop,NISC SmartHub portal (polkburnett.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
priceelectric,Price Electric Cooperative,WI,live,priceelectric.smarthub.coop,https://priceelectric.smarthub.coop,NISC SmartHub portal (priceelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
riverlandenergy,Riverland Energy Cooperative,WI,live,riverlandenergy.smarthub.coop,https://riverlandenergy.smarthub.coop,NISC SmartHub portal (riverlandenergy.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
rock,Rock Energy Cooperative,WI,live,rock.smarthub.coop,https://rock.smarthub.coop,NISC SmartHub portal (rock.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
wi_taylor,Taylor Electric Cooperative,WI,in-progress,,,Electric cooperative serving Taylor County WI. SmartHub host not found — taylorelectric.smarthub.coop belongs to Taylor County RECC (KY). Manual PDF upload until correct portal confirmed.
wi_trempealeau,Trempealeau Electric Cooperative,WI,in-progress,,,Electric cooperative serving Trempealeau County WI. SmartHub host not found — tec.smarthub.coop belongs to Talquin Electric (FL). Manual PDF upload until correct portal confirmed.
vernonelectric,Vernon Electric Cooperative,WI,live,vernonelectric.smarthub.coop,https://vernonelectric.smarthub.coop,NISC SmartHub portal (vernonelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
reedsburg,Reedsburg Utility Commission,WI,live,reedsburgutility.smarthub.coop,https://reedsburgutility.smarthub.coop,NISC SmartHub portal (reedsburgutility.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. kWh unverified on a real generation meter; verify before trusting reports.
adams_columbia,Adams-Columbia Electric Cooperative,WI,in-progress,,,Electric cooperative serving Adams and Columbia counties. No SmartHub host found after probing multiple patterns (Jun 2026). Manual PDF upload until portal confirmed.
clark_wi,Clark Electric Cooperative,WI,in-progress,,,Electric cooperative serving Clark County. No SmartHub host found after probing multiple patterns (Jun 2026). Manual PDF upload until portal confirmed.
crawford,Crawford Electric Cooperative,WI,in-progress,,,Electric cooperative serving Crawford County (Gays Mills area). No SmartHub host found after probing multiple patterns (Jun 2026). Manual PDF upload until portal confirmed.
wi_jackson,Jackson Electric Cooperative,WI,in-progress,,,Electric cooperative serving Jackson County. No SmartHub host found after probing multiple patterns (Jun 2026). Manual PDF upload until portal confirmed.
oakdale,Oakdale Electric Cooperative,WI,live,oakdalerec.smarthub.coop,https://oakdalerec.smarthub.coop,Electric cooperative serving Oakdale area. No SmartHub host found after probing multiple patterns (Jun 2026). Manual PDF upload until portal confirmed. SmartHub host auto-discovered + siteName-verified ('Oakdale Electric Cooperative') Jul 2026.
richland,Richland Electric Cooperative,WI,in-progress,,,Electric cooperative serving Richland County. No SmartHub host found after probing multiple patterns (Jun 2026). Manual PDF upload until portal confirmed.
stcroix,St. Croix Electric Cooperative,WI,in-progress,,,Electric cooperative serving St. Croix County. No SmartHub host found after probing multiple patterns (Jun 2026). Manual PDF upload until portal confirmed.
algoma,Algoma Utilities,WI,in-progress,,,Municipal utility serving Algoma. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
cedarburg,Cedarburg Light & Water,WI,in-progress,,,Municipal utility serving Cedarburg. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
jefferson,Jefferson Light & Water,WI,in-progress,,,Municipal utility serving Jefferson. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
kaukauna,Kaukauna Utilities,WI,in-progress,,,Municipal utility serving Kaukauna. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
marshfield,Marshfield Utilities,WI,in-progress,,,Municipal utility serving Marshfield. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
newlondon,New London Utilities,WI,in-progress,,,Municipal utility serving New London. No SmartHub host found (Jun 2026). Manual PDF upload until portal confirmed.
