code,label,state,scrape_status,smarthub_host,portal_url,notes
dominion,Dominion Energy Virginia,VA,in-progress,,https://login.dominionenergy.com/CommonLogin?SelectedAppName=electric,"Largest IOU in VA (~2.7M customers, Northern/Central/Eastern VA). Bespoke portal, adapter needs a live login. Manual upload meanwhile."
apco,Appalachian Power Company (APCo),VA,in-progress,,https://www.appalachianpower.com/account/login/,"AEP subsidiary IOU serving central/southwestern VA (~530K customers, Roanoke/Lynchburg/Blacksburg). Bespoke portal, adapter needs a live login. Manual upload meanwhile."
old_dominion,Kentucky Utilities d/b/a Old Dominion Power,VA,in-progress,,https://lge-ku.com/odp,"PPL Corp IOU serving far southwestern VA coalfield region (~28K customers, Wise/Lee/Russell/Scott/Dickenson counties). Bespoke portal, adapter needs a live login. Manual upload meanwhile."
barc,BARC Electric Cooperative,VA,live,barcelectric.smarthub.coop,https://barcelectric.smarthub.coop,NISC SmartHub portal (barcelectric.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. Shenandoah Valley: Bath/Alleghany/Augusta/Highland/Rockbridge counties. kWh unverified on real generation meters; verify before trusting reports.
cvec,Central Virginia Electric Cooperative (CVEC),VA,live,cvec.smarthub.coop,https://cvec.smarthub.coop,NISC SmartHub portal (cvec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. Central VA 12-14 county area. kWh unverified on real generation meters; verify before trusting reports.
comelec,Community Electric Cooperative,VA,live,comelec.smarthub.coop,https://comelec.smarthub.coop,NISC SmartHub portal (comelec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. 5-county service area. kWh unverified on real generation meters; verify before trusting reports.
cbec,Craig-Botetourt Electric Cooperative (CBEC),VA,live,cbec.smarthub.coop,https://cbec.smarthub.coop,NISC SmartHub portal (cbec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. Rural sections of 7 counties. kWh unverified on real generation meters; verify before trusting reports.
meckelec,Mecklenburg Electric Cooperative,VA,live,meckelec.smarthub.coop,https://meckelec.smarthub.coop,NISC SmartHub portal (meckelec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. 9 Southside VA counties + 5 NC counties (31K customers). kWh unverified on real generation meters; verify before trusting reports.
nnec,Northern Neck Electric Cooperative (NNEC),VA,live,nnec.smarthub.coop,https://nnec.smarthub.coop,NISC SmartHub portal (nnec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. Northern Neck region: King George/Lancaster/Northumberland/Richmond/Westmoreland counties (~17K members). kWh unverified on real generation meters; verify before trusting reports.
novec,Northern Virginia Electric Cooperative (NOVEC),VA,live,novec.smarthub.coop,https://novec.smarthub.coop,NISC SmartHub portal (novec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. Clarke/Fairfax/Fauquier/Loudoun/Prince William/Stafford counties; City of Manassas Park (~180K+ connections). kWh unverified on real generation meters; verify before trusting reports.
pgec,Prince George Electric Cooperative,VA,live,pgec.smarthub.coop,https://pgec.smarthub.coop,NISC SmartHub portal (pgec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. Prince George area and surrounding counties. kWh unverified on real generation meters; verify before trusting reports.
myrec,Rappahannock Electric Cooperative (REC),VA,live,myrec.smarthub.coop,https://myrec.smarthub.coop,NISC SmartHub portal (myrec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. 22 VA counties (~170K connections). kWh unverified on real generation meters; verify before trusting reports.
svec,Shenandoah Valley Electric Cooperative (SVEC),VA,live,svec.smarthub.coop,https://svec.smarthub.coop,NISC SmartHub portal (svec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. Augusta/Clarke/Frederick/Highland/Page/Rockingham/Shenandoah/Warren counties + Winchester (~93K meters). kWh unverified on real generation meters; verify before trusting reports.
sec,Southside Electric Cooperative,VA,live,sec.smarthub.coop,https://sec.smarthub.coop,NISC SmartHub portal (sec.smarthub.coop verified Jun 2026) — extension scrapes billing + usage. 18 counties + 6 towns + Petersburg (~48K members). kWh unverified on real generation meters; verify before trusting reports.
anec,A&N Electric Cooperative,VA,in-progress,,https://www.anec.com/,"Eastern Shore co-op (Accomack/Northampton counties, ~35K connections). Research indicates SmartHub portal exists but host pattern not confirmed via curl probe (tried anelec/anec/aandnelectric/anelectric/accomacknorthampton.smarthub.coop, all 000). Needs manual verification or customer login to confirm portal. Manual upload meanwhile."
pve,Powell Valley Electric Cooperative,VA,in-progress,,https://billing.pve.coop/,"Northeast TN + southwest VA co-op (~35K consumers). Has billing portal at billing.pve.coop but NOT on NISC SmartHub (no .smarthub.coop host resolved). Bespoke portal, adapter needs a live login. Manual upload meanwhile."
